niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.7263e+05,-1.7264e+05,-1.9980e-03,-1.7264e+05,1.1750e-01,6.9098e+00,inf,7.2981e+02,-5.9021e-02,-9.7485e-01,4.9564e+00,6.5912e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.7225e+05,-1.7226e+05,-3.9960e-03,-1.7226e+05,1.1751e-01,6.9118e+00,1.6352e+05,7.3125e+02,-8.5755e-02,-8.1427e-01,4.9239e+00,8.5790e-01
3.0000e+00,1.0000e+00,5.9642e-01,-1.7142e+05,-1.7142e+05,-5.9940e-03,-1.7142e+05,1.1753e-01,6.9138e+00,1.6313e+05,7.3270e+02,1.6303e-01,-4.3295e-01,4.9779e+00,1.5120e+00
4.0000e+00,1.0000e+00,7.9365e-01,-1.7086e+05,-1.7086e+05,-7.9920e-03,-1.7086e+05,1.1755e-01,6.9157e+00,1.6230e+05,7.3418e+02,-7.0506e-02,-8.7934e-01,4.9999e+00,7.9793e+00
5.0000e+00,1.0000e+00,9.9010e-01,-1.7046e+05,-1.7047e+05,-9.9900e-03,-1.7047e+05,1.1757e-01,6.9177e+00,1.6174e+05,7.3563e+02,-4.6090e-01,-9.0727e-01,4.5480e+00,1.4284e+00
6.0000e+00,1.0000e+00,1.1858e+00,-1.7045e+05,-1.7046e+05,-1.1988e-02,-1.7046e+05,1.1730e-01,6.8860e+00,1.6134e+05,7.3710e+02,-2.7714e-01,-2.8201e-01,4.9912e+00,4.4600e+00
7.0000e+00,1.0000e+00,1.3807e+00,-1.7043e+05,-1.7044e+05,-1.3986e-02,-1.7044e+05,1.1760e-01,6.9217e+00,1.6134e+05,7.3854e+02,-5.6626e-02,-6.8850e-01,4.6737e+00,5.0014e-01
8.0000e+00,2.0000e+00,1.5717e+00,-1.7042e+05,-1.7043e+05,-1.5984e-02,-1.7043e+05,1.1762e-01,6.9236e+00,1.6131e+05,7.4143e+02,-2.9304e-01,-4.1694e-01,4.7198e+00,5.5263e-01
9.0000e+00,1.0000e+00,1.7647e+00,-1.7015e+05,-1.7015e+05,-1.7982e-02,-1.7015e+05,1.1763e-01,6.9257e+00,1.6130e+05,7.4286e+02,1.2576e-01,-2.6862e-01,4.8458e+00,1.0059e+00
1.0000e+01,1.0000e+00,1.9569e+00,-1.7003e+05,-1.7004e+05,-1.9980e-02,-1.7004e+05,1.1765e-01,6.9277e+00,1.6103e+05,7.4440e+02,-8.5648e-02,-7.2696e-01,4.8980e+00,5.3755e+00
1.1000e+01,1.0000e+00,2.1484e+00,-1.6999e+05,-1.7000e+05,-2.1978e-02,-1.7000e+05,1.1767e-01,6.9297e+00,1.6091e+05,7.4585e+02,-3.8352e-01,-3.5044e-01,4.9266e+00,5.5890e+00
1.2000e+01,1.0000e+00,2.3392e+00,-1.6993e+05,-1.6994e+05,-2.3976e-02,-1.6994e+05,1.1768e-01,6.9317e+00,1.6087e+05,7.4729e+02,-4.3707e-01,-8.0426e-01,4.7901e+00,7.7609e+00
1.3000e+01,1.0000e+00,2.5292e+00,-1.6979e+05,-1.6979e+05,-2.5974e-02,-1.6979e+05,1.1770e-01,6.9337e+00,1.6081e+05,7.4877e+02,-2.6999e-01,-9.4339e-01,4.7473e+00,7.2416e+00
1.4000e+01,1.0000e+00,2.7184e+00,-1.6977e+05,-1.6978e+05,-2.7972e-02,-1.6978e+05,1.1772e-01,6.9357e+00,1.6067e+05,7.5023e+02,-3.4974e-01,-3.4292e-01,4.7728e+00,2.9185e+00
1.5000e+01,1.0000e+00,2.9070e+00,-1.6975e+05,-1.6975e+05,-2.9970e-02,-1.6975e+05,1.1774e-01,6.9377e+00,1.6065e+05,7.5168e+02,1.8245e-01,-8.7670e-01,4.5791e+00,1.7200e+00
1.6000e+01,1.0000e+00,3.0948e+00,-1.6975e+05,-1.6975e+05,-3.1968e-02,-1.6975e+05,1.0904e-01,5.9504e+00,1.6063e+05,7.5311e+02,1.1177e-01,-9.0796e-01,4.5512e+00,2.2987e-01
1.7000e+01,1.0000e+00,3.2819e+00,-1.6969e+05,-1.6970e+05,-3.3966e-02,-1.6970e+05,1.1777e-01,6.9417e+00,1.6063e+05,7.5457e+02,-3.6583e-01,-9.2325e-01,4.7471e+00,6.7030e+00
1.8000e+01,1.0000e+00,3.4682e+00,-1.6964e+05,-1.6965e+05,-3.5964e-02,-1.6965e+05,1.1779e-01,6.9437e+00,1.6057e+05,7.5603e+02,-4.9708e-01,-8.1571e-01,4.7119e+00,5.5234e+00
1.9000e+01,1.0000e+00,3.6538e+00,-1.6960e+05,-1.6961e+05,-3.7962e-02,-1.6961e+05,1.1780e-01,6.9457e+00,1.6052e+05,7.5750e+02,-4.5784e-01,-7.2181e-01,4.7468e+00,6.7234e+00
2.0000e+01,1.0000e+00,3.8388e+00,-1.6952e+05,-1.6953e+05,-3.9960e-02,-1.6953e+05,1.1782e-01,6.9477e+00,1.6048e+05,7.5901e+02,-2.2098e-02,-8.3405e-01,4.4965e+00,8.5498e-01
2.1000e+01,1.0000e+00,4.0230e+00,-1.6950e+05,-1.6951e+05,-4.1958e-02,-1.6951e+05,1.1784e-01,6.9497e+00,1.6040e+05,7.6045e+02,-2.9223e-01,-9.8952e-01,4.5511e+00,3.0538e+00
2.2000e+01,1.0000e+00,4.2065e+00,-1.6942e+05,-1.6943e+05,-4.3956e-02,-1.6943e+05,1.1785e-01,6.9517e+00,1.6038e+05,7.6189e+02,-1.7897e-01,-7.4162e-01,4.4611e+00,1.4689e+00
