nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-1.0000e+300,-1.0000e+300,-4.9875e-03,-1.0000e+300,,-4.9751e+297,inf,2.2684e+00,2.0780e-01,-1.4259e+00,2.3461e+00,7.2170e-02
2.0000e+03,1.0000e+00,3.0000e+00,9.8522e-01,-1.0000e+300,-1.0000e+300,-9.9751e-03,-1.0000e+300,,-9.9255e+297,inf,4.4801e+00,-5.4887e-01,-1.3112e+00,3.2818e+00,9.6426e-03
2.0000e+03,2.0000e+00,4.0000e+00,1.4706e+00,-1.0000e+300,-1.0000e+300,-1.4963e-02,-1.0000e+300,,-1.4851e+298,inf,6.7061e+00,-2.8665e-01,-3.5568e-01,3.2559e+00,-5.6616e-02
2.0000e+03,3.0000e+00,5.0000e+00,1.9512e+00,-1.0000e+300,-1.0000e+300,-1.9950e-02,-1.0000e+300,,-1.9752e+298,inf,8.8448e+00,4.0648e-01,-2.2923e-01,3.5586e+00,-7.4554e-01
2.0000e+03,4.0000e+00,6.0000e+00,2.4272e+00,-1.0000e+300,-1.0000e+300,-2.4938e-02,-1.0000e+300,,-2.4629e+298,inf,1.0990e+01,-2.5408e-01,-1.1741e+00,2.7261e+00,-7.0718e-01
2.0000e+03,5.0000e+00,7.0000e+00,2.8986e+00,-1.0000e+300,-1.0000e+300,-2.9925e-02,-1.0000e+300,,-2.9482e+298,inf,1.3123e+01,-3.3903e-01,-1.3843e-01,2.6780e+00,-3.9335e-02
2.0000e+03,6.0000e+00,9.0000e+00,3.3493e+00,-1.0000e+300,-1.0000e+300,-3.4913e-02,-1.0000e+300,,-3.4310e+298,inf,1.5317e+01,-7.6010e-01,-1.2689e-01,2.9661e+00,2.6529e-03
2.0000e+03,7.0000e+00,1.0000e+01,3.8095e+00,-1.0000e+300,-1.0000e+300,-3.9900e-02,-1.0000e+300,,-3.9115e+298,inf,1.7559e+01,-1.0936e+00,-6.6595e-01,3.1496e+00,-5.8420e-01
2.0000e+03,8.0000e+00,1.1000e+01,4.2654e+00,-1.0000e+300,-1.0000e+300,-4.4888e-02,-1.0000e+300,,-4.3895e+298,inf,1.9732e+01,-5.3568e-01,-4.6384e-01,2.6058e+00,-8.7860e-01
2.0000e+03,9.0000e+00,1.2000e+01,4.7170e+00,-1.0000e+300,-1.0000e+300,-4.9875e-02,-1.0000e+300,,-4.8652e+298,inf,2.1898e+01,2.6790e-01,-5.1728e-01,3.0314e+00,8.2015e-02
2.0000e+03,1.0000e+01,1.3000e+01,5.1643e+00,-1.0000e+300,-1.0000e+300,-5.4863e-02,-1.0000e+300,,-5.3385e+298,inf,2.4164e+01,-1.4105e+00,-1.7742e+00,2.8761e+00,-4.3141e-01
2.0000e+03,1.1000e+01,1.4000e+01,5.6075e+00,-1.0000e+300,-1.0000e+300,-5.9850e-02,-1.0000e+300,,-5.8095e+298,inf,2.6375e+01,-6.2501e-01,-5.8149e-02,3.5477e+00,5.4212e-02
