nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-2.4012e+05,-2.4012e+05,-4.9875e-03,-2.4012e+05,1.7294e-01,5.9965e+00,inf,4.3419e-01,-9.5707e-01,-1.9311e+00,-2.7284e+00,-2.6693e+00,1.0420e-01,2.4265e-01,-9.5591e-01,3.1385e+00,4.8889e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-2.3590e+05,-2.3591e+05,-9.9751e-03,-2.3591e+05,1.7301e-01,6.0014e+00,2.1776e+05,8.7653e-01,-6.7977e-01,-1.9832e+00,-2.1738e+00,-2.7735e+00,-5.1795e-01,1.5715e+00,2.5690e+00,1.0343e+00,4.8994e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-2.3393e+05,-2.3394e+05,-1.4963e-02,-2.3394e+05,1.7308e-01,6.0064e+00,2.1354e+05,1.3268e+00,-7.7633e-01,-1.8175e+00,-2.3669e+00,-2.4421e+00,-2.2231e+00,-4.6835e-01,2.9793e-01,4.0919e+00,4.7124e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-2.3370e+05,-2.3371e+05,-1.9950e-02,-2.3371e+05,1.7315e-01,6.0114e+00,2.1158e+05,1.7614e+00,-1.3305e+00,-1.3340e+00,-3.4751e+00,-1.4750e+00,5.0957e-01,-1.2684e+00,1.0861e+00,1.2008e+00,4.8335e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-2.2498e+05,-2.2499e+05,-2.4938e-02,-2.2499e+05,1.7323e-01,6.0164e+00,2.1135e+05,2.2049e+00,-1.3723e+00,-1.1465e+00,-3.5589e+00,-1.1000e+00,4.2002e-01,1.0345e+00,-3.4999e-01,3.0688e+00,4.7625e+00
2.0000e+03,5.0000e+00,6.0000e+00,2.9126e+00,-2.2468e+05,-2.2469e+05,-2.9925e-02,-2.2469e+05,1.7330e-01,6.0214e+00,2.0263e+05,2.6518e+00,-4.5076e-01,-1.4185e+00,-1.7158e+00,-1.6440e+00,-1.4914e+00,1.7680e-01,2.6041e+00,2.4051e+00,4.8945e+00
2.0000e+03,6.0000e+00,7.0000e+00,3.3816e+00,-2.2137e+05,-2.2138e+05,-3.4913e-02,-2.2138e+05,1.7337e-01,6.0264e+00,2.0233e+05,3.0896e+00,-1.2380e+00,-1.2362e+00,-3.2903e+00,-1.2795e+00,-2.3620e-01,1.9393e+00,1.6930e-01,4.9836e-01,4.7251e+00
2.0000e+03,7.0000e+00,8.0000e+00,3.8462e+00,-2.1961e+05,-2.1962e+05,-3.9900e-02,-2.1962e+05,1.7344e-01,6.0314e+00,1.9902e+05,3.5453e+00,-1.3322e+00,-1.6085e+00,-3.4786e+00,-2.0241e+00,1.3859e+00,2.0408e+00,-1.1081e+00,8.4576e-01,4.6474e+00
2.0000e+03,8.0000e+00,9.0000e+00,4.3062e+00,-2.1896e+05,-2.1896e+05,-4.4888e-02,-2.1896e+05,1.7351e-01,6.0363e+00,1.9726e+05,3.9924e+00,-1.3737e+00,-1.9356e+00,-3.5616e+00,-2.6782e+00,-1.4344e+00,-1.3873e+00,4.9623e-01,2.7688e-01,4.6418e+00
2.0000e+03,9.0000e+00,1.0000e+01,4.7619e+00,-2.1383e+05,-2.1384e+05,-4.9875e-02,-2.1384e+05,1.7358e-01,6.0413e+00,1.9660e+05,4.4560e+00,-8.3325e-01,-9.6371e-01,-2.4807e+00,-7.3447e-01,-8.2539e-01,-1.7140e+00,1.1836e+00,3.5096e+00,4.7415e+00
2.0000e+03,1.0000e+01,1.1000e+01,5.2133e+00,-2.0047e+05,-2.0048e+05,-5.4863e-02,-2.0048e+05,1.7366e-01,6.0463e+00,1.9148e+05,4.8971e+00,-9.9052e-01,-1.4251e+00,-2.7953e+00,-1.6573e+00,8.1697e-01,-1.6133e+00,-1.0964e-02,3.8554e+00,4.2892e+00
2.0000e+03,1.1000e+01,1.2000e+01,5.6604e+00,-2.0045e+05,-2.0046e+05,-5.9850e-02,-2.0046e+05,1.7373e-01,6.0513e+00,1.7812e+05,5.3439e+00,-6.0652e-01,-1.1698e+00,-2.0273e+00,-1.1466e+00,-4.8259e-01,2.0951e+00,3.6996e-01,1.5822e-01,4.6231e+00
2.0000e+03,1.2000e+01,1.3000e+01,6.1033e+00,-1.9793e+05,-1.9794e+05,-6.4838e-02,-1.9794e+05,1.7380e-01,6.0563e+00,1.7810e+05,5.8048e+00,-1.2027e+00,-3.9133e-01,-3.2196e+00,4.1028e-01,-7.2503e-01,-4.8128e-01,6.4853e-02,2.9805e+00,4.9268e+00
2.0000e+03,1.3000e+01,1.4000e+01,6.5421e+00,-1.9608e+05,-1.9609e+05,-6.9826e-02,-1.9609e+05,1.7387e-01,6.0613e+00,1.7557e+05,6.2519e+00,5.7126e-02,-9.0313e-01,-6.9999e-01,-6.1332e-01,4.9663e-02,1.0989e+00,1.1417e+00,3.2094e+00,4.8817e+00
2.0000e+03,1.4000e+01,1.5000e+01,6.9767e+00,-1.9250e+05,-1.9251e+05,-7.4813e-02,-1.9251e+05,1.7394e-01,6.0663e+00,1.7373e+05,6.6962e+00,4.2891e-01,-1.9659e+00,4.3578e-02,-2.7390e+00,3.0214e-01,-1.2764e+00,-5.0248e-01,2.7068e+00,4.8622e+00
2.0000e+03,1.5000e+01,1.6000e+01,7.4074e+00,-1.8902e+05,-1.8903e+05,-7.9801e-02,-1.8903e+05,1.7401e-01,6.0713e+00,1.7014e+05,7.1418e+00,4.8016e-01,-1.8386e+00,1.4608e-01,-2.4843e+00,-1.1010e-01,1.6279e+00,-1.3811e-01,2.4819e+00,4.8390e+00
2.0000e+03,1.6000e+01,1.7000e+01,7.8341e+00,-1.8889e+05,-1.8889e+05,-8.4788e-02,-1.8889e+05,1.7408e-01,6.0763e+00,1.6667e+05,7.5891e+00,-1.1598e+00,-5.6324e-01,-3.1337e+00,6.6470e-02,1.0750e+00,-1.3209e+00,2.7725e+00,3.1255e+00,4.6022e+00
2.0000e+03,1.7000e+01,1.8000e+01,8.2569e+00,-1.8673e+05,-1.8674e+05,-8.9776e-02,-1.8674e+05,1.7416e-01,6.0812e+00,1.6653e+05,8.0378e+00,-8.2922e-01,-1.2969e+00,-2.4727e+00,-1.4008e+00,-6.3236e-01,4.7982e-01,1.3465e+00,8.1706e-01,4.3955e+00
2.0000e+03,1.8000e+01,1.9000e+01,8.6758e+00,-1.8604e+05,-1.8604e+05,-9.4763e-02,-1.8604e+05,1.7423e-01,6.0862e+00,1.6438e+05,8.4889e+00,-1.3231e+00,-1.8866e+00,-3.4604e+00,-2.5803e+00,-1.9911e+00,1.0311e-01,1.5749e+00,4.7217e-01,4.2644e+00
2.0000e+03,1.9000e+01,2.0000e+01,9.0909e+00,-1.8504e+05,-1.8505e+05,-9.9751e-02,-1.8505e+05,1.7430e-01,6.0912e+00,1.6368e+05,8.9420e+00,4.4758e-01,-9.2904e-01,8.0917e-02,-6.6513e-01,-6.2495e-01,-1.7497e+00,1.3002e+00,3.9678e+00,4.8059e+00
2.0000e+03,2.0000e+01,2.1000e+01,9.5023e+00,-1.7620e+05,-1.7620e+05,-1.0474e-01,-1.7620e+05,1.7437e-01,6.0962e+00,1.6269e+05,9.3882e+00,-3.0353e-01,-1.7871e+00,-1.4213e+00,-2.3812e+00,-1.2155e+00,-1.6046e+00,1.3616e+00,1.9931e-01,4.3558e+00
2.0000e+03,2.1000e+01,2.2000e+01,9.9099e+00,-1.7554e+05,-1.7555e+05,-1.0973e-01,-1.7555e+05,1.7444e-01,6.1012e+00,1.5384e+05,9.8329e+00,4.6835e-01,-7.7892e-01,1.2247e-01,-3.6490e-01,2.0265e-01,7.7971e-01,1.0856e+00,8.5151e-01,4.8594e+00
2.0000e+03,2.2000e+01,2.3000e+01,1.0314e+01,-1.7508e+05,-1.7509e+05,-1.1471e-01,-1.7509e+05,1.7451e-01,6.1062e+00,1.5319e+05,1.0279e+01,-1.2449e+00,-2.0880e-01,-3.3041e+00,7.7535e-01,1.2362e+00,6.7736e-01,-4.9349e-01,3.0310e+00,4.8919e+00
2.0000e+03,2.3000e+01,2.4000e+01,1.0714e+01,-1.7464e+05,-1.7465e+05,-1.1970e-01,-1.7465e+05,1.7458e-01,6.1112e+00,1.5273e+05,1.0729e+01,-1.2014e+00,-1.0582e+00,-3.2170e+00,-9.2339e-01,-2.3150e+00,1.2007e+00,-3.0110e-01,3.4710e+00,4.0350e+00
2.0000e+03,2.4000e+01,2.5000e+01,1.1111e+01,-1.7381e+05,-1.7382e+05,-1.2469e-01,-1.7382e+05,1.7466e-01,6.1162e+00,1.5228e+05,1.1173e+01,-4.1432e-01,-1.5841e+00,-1.6429e+00,-1.9753e+00,-2.0398e+00,1.6413e+00,-1.0143e+00,3.9831e+00,2.2455e+00
2.0000e+03,2.5000e+01,2.6000e+01,1.1504e+01,-1.7360e+05,-1.7361e+05,-1.2968e-01,-1.7361e+05,1.7473e-01,6.1211e+00,1.5146e+05,1.1624e+01,-7.2656e-01,-4.2957e-01,-2.2674e+00,3.3380e-01,-1.9988e+00,-2.2640e-01,1.8459e+00,1.5833e-01,4.6483e+00
2.0000e+03,2.6000e+01,2.7000e+01,1.1894e+01,-1.7289e+05,-1.7290e+05,-1.3466e-01,-1.7290e+05,1.7480e-01,6.1261e+00,1.5125e+05,1.2066e+01,4.0702e-01,-1.6422e+00,-1.9332e-04,-2.0915e+00,-2.0971e+00,1.9090e+00,2.2196e+00,3.9991e+00,4.2282e+00
2.0000e+03,2.7000e+01,2.8000e+01,1.2281e+01,-1.7232e+05,-1.7233e+05,-1.3965e-01,-1.7233e+05,1.7487e-01,6.1311e+00,1.5054e+05,1.2510e+01,-5.4551e-01,-1.1978e+00,-1.9053e+00,-1.2026e+00,1.3183e+00,2.2319e-01,2.1146e+00,3.6357e+00,3.9862e+00
2.0000e+03,2.8000e+01,3.0000e+01,1.2609e+01,-1.6989e+05,-1.6990e+05,-1.4464e-01,-1.6990e+05,1.7494e-01,6.1361e+00,1.4997e+05,1.3388e+01,-7.6785e-01,-1.3538e+00,-2.3499e+00,-1.5147e+00,1.0815e+00,-9.7562e-01,1.8161e+00,1.5711e+00,4.1419e+00
2.0000e+03,2.9000e+01,3.1000e+01,1.2987e+01,-1.6965e+05,-1.6965e+05,-1.4963e-01,-1.6965e+05,1.7501e-01,6.1411e+00,1.4754e+05,1.3827e+01,-8.2965e-01,-6.8490e-01,-2.4735e+00,-1.7685e-01,-2.1108e+00,-1.6181e+00,1.6905e-01,2.4705e+00,4.3511e+00
2.0000e+03,3.0000e+01,3.2000e+01,1.3362e+01,-1.6860e+05,-1.6861e+05,-1.5461e-01,-1.6861e+05,1.7508e-01,6.1461e+00,1.4729e+05,1.4266e+01,-1.2459e+00,-1.1720e+00,-3.3060e+00,-1.1511e+00,6.5630e-02,-1.3091e+00,2.7742e+00,8.3113e-01,3.9769e+00
