nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-2.1784e+05,-2.1784e+05,-1.9803e-02,-2.1784e+05,3.0263e-01,4.6250e+00,inf,4.7506e-01,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-2.0694e+05,-2.0694e+05,-3.9605e-02,-2.0694e+05,3.0328e-01,4.6448e+00,1.8418e+05,9.5607e-01,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.7736e+05,-1.7736e+05,-5.9408e-02,-1.7736e+05,3.0393e-01,4.6646e+00,1.7328e+05,1.4348e+00,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.6405e+05,-1.6405e+05,-7.9211e-02,-1.6405e+05,3.0457e-01,4.6844e+00,1.4370e+05,1.9243e+00,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-1.6158e+05,-1.6158e+05,-9.9013e-02,-1.6158e+05,3.0521e-01,4.7042e+00,1.3039e+05,2.4349e+00,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-1.5959e+05,-1.5960e+05,-1.1882e-01,-1.5960e+05,3.0586e-01,4.7240e+00,1.2792e+05,2.9109e+00,-2.8561e-01,-8.6811e-01,2.0135e+00
2.0000e+03,6.0000e+00,7.0000e+00,1.2281e+01,-1.5582e+05,-1.5583e+05,-1.3862e-01,-1.5583e+05,3.0650e-01,4.7438e+00,1.2594e+05,3.3882e+00,-3.7761e-01,-9.9383e-01,2.0275e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.3793e+01,-1.5552e+05,-1.5553e+05,-1.5842e-01,-1.5553e+05,3.0713e-01,4.7636e+00,1.2216e+05,3.8745e+00,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,8.0000e+00,9.0000e+00,1.5254e+01,-1.5394e+05,-1.5395e+05,-1.7822e-01,-1.5395e+05,3.0777e-01,4.7834e+00,1.2187e+05,4.3619e+00,-8.6491e-01,-8.6342e-01,2.0187e+00
2.0000e+03,9.0000e+00,1.0000e+01,1.6667e+01,-1.5187e+05,-1.5187e+05,-1.9803e-01,-1.5187e+05,3.0841e-01,4.8032e+00,1.2029e+05,4.8523e+00,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,1.0000e+01,1.1000e+01,1.8033e+01,-1.5110e+05,-1.5111e+05,-2.1783e-01,-1.5111e+05,3.0904e-01,4.8230e+00,1.1821e+05,5.3353e+00,-8.2965e-01,-6.8490e-01,2.1467e+00
2.0000e+03,1.1000e+01,1.2000e+01,1.9355e+01,-1.4853e+05,-1.4854e+05,-2.3763e-01,-1.4854e+05,3.0968e-01,4.8428e+00,1.1744e+05,5.8088e+00,7.0717e-02,-4.4005e-01,2.5452e+00
2.0000e+03,1.2000e+01,1.3000e+01,2.0635e+01,-1.4834e+05,-1.4835e+05,-2.5743e-01,-1.4835e+05,3.1031e-01,4.8626e+00,1.1488e+05,6.2918e+00,-1.1128e+00,-1.0844e+00,3.8408e+00
2.0000e+03,1.3000e+01,1.4000e+01,2.1875e+01,-1.4754e+05,-1.4754e+05,-2.7724e-01,-1.4754e+05,3.1094e-01,4.8824e+00,1.1468e+05,6.7757e+00,4.4899e-01,-6.6443e-01,2.5113e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.2727e+01,-1.4676e+05,-1.4676e+05,-2.9704e-01,-1.4676e+05,3.1157e-01,4.9022e+00,1.1388e+05,7.7187e+00,-1.0624e+00,-1.5026e-01,2.8843e+00
