logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.8221e-01,-5.1288e-01,-1.5367e+00,-7.6243e-01,-5.3568e-01,7.6393e-01,1.9915e+00,2.6048e+01,-3.7030e+02
-3.0341e-01,-4.9448e-01,-1.2475e+00,-1.0375e+00,-7.4348e-01,8.5109e-01,1.9966e+00,2.6071e+01,-3.7198e+02
-2.8547e-01,-5.0059e-01,-1.2300e+00,-9.1917e-01,-5.9906e-01,9.3636e-01,1.9946e+00,2.6104e+01,-3.6489e+02
-2.9657e-01,-5.2330e-01,-2.5094e+00,-6.3476e-01,-6.7014e-01,6.1108e-01,2.0032e+00,2.6052e+01,-3.7114e+02
-3.0046e-01,-4.7094e-01,-1.7889e+00,-5.6874e-01,-1.0659e+00,9.1144e-01,1.9957e+00,2.6078e+01,-3.7222e+02
-2.8156e-01,-4.8774e-01,-1.3732e+00,-8.6428e-01,-4.4521e-01,9.9151e-01,1.9856e+00,2.6098e+01,-3.6439e+02
-2.7284e-01,-5.1117e-01,-2.6065e+00,-5.6522e-01,-8.6182e-01,9.1674e-01,2.0021e+00,2.6107e+01,-3.6798e+02
-2.9477e-01,-4.8380e-01,-1.1469e+00,-1.3055e+00,-3.5028e-01,9.3136e-01,1.9943e+00,2.6094e+01,-3.6499e+02
-3.2613e-01,-4.7578e-01,-1.2297e+00,-1.2093e+00,-4.6357e-02,6.6301e-01,2.0249e+00,2.6130e+01,-3.7129e+02
-2.8582e-01,-5.0557e-01,-1.6356e+00,-6.6339e-01,-9.1872e-01,9.4073e-01,1.9970e+00,2.6107e+01,-3.7106e+02
-3.0431e-01,-4.8533e-01,-1.3019e+00,-1.2367e+00,-2.5333e-01,8.5046e-01,1.9883e+00,2.6063e+01,-3.6485e+02
-2.9084e-01,-4.9744e-01,-1.6759e+00,-6.9267e-01,-2.9440e-01,7.2667e-01,1.9863e+00,2.6027e+01,-3.7217e+02
-2.6990e-01,-5.4030e-01,-2.2257e+00,-5.2440e-01,-7.3512e-01,7.3562e-01,2.0118e+00,2.6106e+01,-3.7307e+02
-3.2256e-01,-5.0189e-01,-1.1979e+00,-1.2301e+00,-7.1293e-02,1.8765e-01,2.0435e+00,2.6142e+01,-3.7230e+02
-3.2150e-01,-4.8014e-01,-1.2126e+00,-1.3715e+00,-1.5462e-01,6.0079e-01,2.0011e+00,2.6047e+01,-3.5774e+02
-2.6746e-01,-5.2141e-01,-1.4371e+00,-8.9087e-01,-4.0819e-01,9.8956e-01,1.9932e+00,2.6124e+01,-3.7334e+02
-3.0530e-01,-4.9017e-01,-1.7483e+00,-1.0201e+00,6.9335e-02,7.6069e-01,1.9959e+00,2.6082e+01,-3.7300e+02
-2.9587e-01,-5.0199e-01,-1.5231e+00,-9.8703e-01,-2.8933e-01,7.6163e-01,2.0012e+00,2.6072e+01,-3.7274e+02
-3.1914e-01,-4.9658e-01,-2.0323e+00,-7.7036e-01,-4.4203e-01,5.5293e-01,2.0149e+00,2.6076e+01,-3.6892e+02
-3.1315e-01,-4.7946e-01,-1.2298e+00,-1.1222e+00,-2.3263e-01,7.7658e-01,2.0083e+00,2.6109e+01,-3.6167e+02
-3.1917e-01,-4.8440e-01,-1.4467e+00,-9.8055e-01,3.0023e-02,4.5733e-01,2.0168e+00,2.6088e+01,-3.7313e+02
