nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-7.5622e+05,-7.5623e+05,-1.9980e-03,-7.5623e+05,1.1750e-01,6.9098e+00,inf,2.6499e+03,-3.5468e-01,-1.8793e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-7.4868e+05,-7.4868e+05,-3.9960e-03,-7.4868e+05,1.1751e-01,6.9118e+00,7.2533e+05,2.6558e+03,-9.0571e-01,-1.2820e+00,6.9890e+00,1.1083e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-7.4143e+05,-7.4144e+05,-5.9940e-03,-7.4144e+05,1.1753e-01,6.9137e+00,7.1778e+05,2.6617e+03,-1.1894e+00,-1.3504e+00,6.9083e+00,1.3927e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-7.3388e+05,-7.3389e+05,-7.9920e-03,-7.3389e+05,1.1755e-01,6.9157e+00,7.1054e+05,2.6669e+03,-3.9506e-01,-1.7270e+00,6.8725e+00,1.3389e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-7.3326e+05,-7.3327e+05,-9.9900e-03,-7.3327e+05,1.1757e-01,6.9177e+00,7.0298e+05,2.6728e+03,-1.4813e+00,-1.0994e+00,6.8862e+00,1.1182e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-7.2380e+05,-7.2381e+05,-1.1988e-02,-7.2381e+05,1.1758e-01,6.9198e+00,7.0236e+05,2.6786e+03,-1.0965e+00,-1.3017e+00,6.7610e+00,1.7810e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-7.2349e+05,-7.2350e+05,-1.3986e-02,-7.2350e+05,1.1760e-01,6.9218e+00,6.9290e+05,2.6831e+03,-1.3322e+00,-1.8043e+00,6.7376e+00,1.9398e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-7.2025e+05,-7.2025e+05,-1.5984e-02,-7.2025e+05,1.1762e-01,6.9238e+00,6.9259e+05,2.6887e+03,-1.1131e+00,-1.2600e+00,6.7836e+00,1.0366e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-7.1810e+05,-7.1811e+05,-1.7982e-02,-7.1811e+05,1.1763e-01,6.9257e+00,6.8935e+05,2.6942e+03,-5.1007e-01,-1.1901e+00,6.7728e+00,1.2786e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-7.1636e+05,-7.1637e+05,-1.9980e-02,-7.1637e+05,1.1765e-01,6.9277e+00,6.8720e+05,2.6998e+03,-6.2538e-01,-1.4069e+00,6.7572e+00,1.1107e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-7.1600e+05,-7.1601e+05,-2.1978e-02,-7.1601e+05,1.1767e-01,6.9297e+00,6.8546e+05,2.7051e+03,-8.8663e-01,-1.9434e+00,6.6842e+00,1.8090e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-7.1579e+05,-7.1580e+05,-2.3976e-02,-7.1580e+05,1.1768e-01,6.9318e+00,6.8510e+05,2.7105e+03,-1.1422e+00,-1.9232e+00,6.6839e+00,1.6733e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-7.1488e+05,-7.1489e+05,-2.5974e-02,-7.1489e+05,1.1770e-01,6.9338e+00,6.8490e+05,2.7161e+03,-1.3876e+00,-1.7218e+00,6.6836e+00,1.6784e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-7.1427e+05,-7.1427e+05,-2.7972e-02,-7.1427e+05,1.1772e-01,6.9357e+00,6.8398e+05,2.7216e+03,-3.2406e-01,-1.9748e+00,6.9455e+00,1.5084e+00
