niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logfeh_std,logdust_med,dust_sig,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.7342e+05,-1.7343e+05,-1.9980e-03,-1.7343e+05,1.1750e-01,6.9098e+00,inf,1.7986e+03,-3.5324e-01,1.6528e-01,-9.4613e-01,1.9163e-01,4.9280e+00,1.0791e+00,2.5597e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.7246e+05,-1.7246e+05,-3.9960e-03,-1.7246e+05,1.1751e-01,6.9118e+00,1.6479e+05,1.8025e+03,-3.9081e-01,1.2243e-01,-9.1609e-01,9.4383e-02,4.7901e+00,7.7609e+00,2.5019e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.7192e+05,-1.7192e+05,-5.9940e-03,-1.7192e+05,1.1753e-01,6.9138e+00,1.6382e+05,1.8063e+03,-4.3951e-01,3.2619e-01,-8.4510e-01,1.6440e-01,4.9307e+00,2.2375e+00,2.6133e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.7150e+05,-1.7150e+05,-7.9920e-03,-1.7150e+05,1.1755e-01,6.9157e+00,1.6328e+05,1.8090e+03,1.1063e-01,2.8492e-01,-5.9040e-01,2.2172e-02,4.8161e+00,4.8815e+00,2.5033e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.7136e+05,-1.7137e+05,-9.9900e-03,-1.7137e+05,1.1757e-01,6.9177e+00,1.6286e+05,1.8119e+03,-9.3510e-02,3.7886e-01,-6.7674e-01,5.7028e-02,4.7895e+00,6.8706e+00,2.5130e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.7105e+05,-1.7106e+05,-1.1988e-02,-1.7106e+05,1.1758e-01,6.9197e+00,1.6273e+05,1.8158e+03,-4.5575e-01,3.9749e-02,-4.8401e-01,1.7390e-01,4.9986e+00,9.5770e-01,2.6637e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.7096e+05,-1.7097e+05,-1.3986e-02,-1.7097e+05,1.1760e-01,6.9217e+00,1.6242e+05,1.8180e+03,-4.8620e-01,3.4793e-01,-8.8879e-01,1.1579e-01,4.9699e+00,6.6402e+00,2.6225e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.7092e+05,-1.7093e+05,-1.5984e-02,-1.7093e+05,1.1762e-01,6.9237e+00,1.6233e+05,1.8196e+03,-3.8963e-01,3.1266e-02,-4.0611e-01,6.3345e-02,4.8032e+00,2.6731e+00,2.5968e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.7063e+05,-1.7063e+05,-1.7982e-02,-1.7063e+05,1.1763e-01,6.9257e+00,1.6228e+05,1.8241e+03,-1.6210e-01,1.6841e-01,-1.8432e-01,3.8998e-01,4.6825e+00,8.8194e-01,2.5592e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.7003e+05,-1.7003e+05,-1.9980e-02,-1.7003e+05,1.1765e-01,6.9277e+00,1.6199e+05,1.8275e+03,-4.7614e-01,3.8580e-01,-4.8036e-01,9.8961e-02,4.5004e+00,1.8708e+00,2.5693e+01
