nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-4.9416e+05,-4.9416e+05,-1.9980e-03,-4.9416e+05,1.1750e-01,6.9098e+00,inf,4.8343e+03,7.2696e-02,-4.6634e-01,-1.3222e+00,-5.3852e-01,-2.7800e-01,1.9756e+00,2.9235e+00
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-4.9277e+05,-4.9278e+05,-3.9960e-03,-4.9278e+05,1.1751e-01,6.9117e+00,4.9237e+05,4.8435e+03,-1.3415e-02,-6.5442e-01,-1.6797e+00,2.1195e-02,6.1746e-01,2.0618e+00,2.8983e+00
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-4.8958e+05,-4.8958e+05,-5.9940e-03,-4.8958e+05,1.1753e-01,6.9138e+00,4.9098e+05,4.8542e+03,1.9379e-01,-6.4301e-01,-1.1280e+00,-4.5350e-01,3.0637e-01,1.5854e+00,2.8775e+00
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-4.8878e+05,-4.8879e+05,-7.9920e-03,-4.8879e+05,1.1755e-01,6.9158e+00,4.8779e+05,4.8633e+03,-2.5714e-01,-9.0710e-01,-2.3979e+00,-7.5047e-02,-9.7142e-01,1.1517e+00,2.9037e+00
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-4.8767e+05,-4.8768e+05,-9.9900e-03,-4.8768e+05,1.1757e-01,6.9177e+00,4.8699e+05,4.8723e+03,-3.1546e-01,-9.5742e-01,-2.2707e+00,-1.6438e+00,2.8719e-01,1.7780e+00,2.8038e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-4.8671e+05,-4.8671e+05,-1.1988e-02,-4.8671e+05,1.1758e-01,6.9198e+00,4.8588e+05,4.8813e+03,-5.4363e-02,-8.2303e-01,-1.9246e+00,-1.2540e+00,-8.6867e-01,1.8998e+00,2.7557e+00
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-4.8664e+05,-4.8665e+05,-1.3986e-02,-4.8665e+05,1.1760e-01,6.9217e+00,4.8492e+05,4.8903e+03,-1.7782e-01,-8.8211e-01,-1.2130e+00,-1.5021e+00,-3.6707e-01,2.0912e+00,2.7450e+00
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-4.8557e+05,-4.8558e+05,-1.5984e-02,-4.8558e+05,1.1762e-01,6.9237e+00,4.8485e+05,4.9010e+03,-1.2655e-01,-6.4000e-01,-2.4446e+00,-2.8104e-01,5.4682e-01,7.4635e-01,2.8917e+00
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-4.8539e+05,-4.8540e+05,-1.7982e-02,-4.8540e+05,1.1763e-01,6.9257e+00,4.8378e+05,4.9102e+03,-5.1516e-02,-6.5712e-01,-2.2314e+00,-1.5261e+00,-7.8951e-01,5.8041e-01,2.8372e+00
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-4.8480e+05,-4.8481e+05,-1.9980e-02,-4.8481e+05,1.1765e-01,6.9277e+00,4.8360e+05,4.9192e+03,9.1794e-02,-8.4532e-01,-7.6691e-01,-1.3419e+00,-1.0388e+00,1.0593e+00,2.8762e+00
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-4.8475e+05,-4.8475e+05,-2.1978e-02,-4.8475e+05,1.1767e-01,6.9297e+00,4.8301e+05,4.9282e+03,-4.8159e-01,-7.4264e-01,-1.9461e+00,-1.7170e+00,-1.8063e-01,1.8134e+00,2.7819e+00
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-4.8414e+05,-4.8415e+05,-2.3976e-02,-4.8415e+05,1.1768e-01,6.9317e+00,4.8296e+05,4.9390e+03,-8.4084e-02,-6.6828e-01,-1.0757e+00,-1.4227e+00,-7.8422e-01,2.2027e-01,2.8695e+00
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-4.8392e+05,-4.8393e+05,-2.5974e-02,-4.8393e+05,1.1770e-01,6.9337e+00,4.8235e+05,4.9480e+03,4.0260e-02,-9.6409e-02,-2.2111e+00,-1.2205e+00,2.7568e-01,1.9117e+00,2.9029e+00
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-4.8359e+05,-4.8360e+05,-2.7972e-02,-4.8360e+05,1.1772e-01,6.9357e+00,4.8213e+05,4.9570e+03,-3.3092e-01,-5.6562e-01,-2.3005e+00,-7.6969e-02,6.5915e-01,1.7372e+00,2.8581e+00
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,-4.8226e+05,-4.8227e+05,-2.9970e-02,-4.8227e+05,1.1774e-01,6.9377e+00,4.8180e+05,4.9678e+03,-8.8760e-02,-6.8000e-01,-2.4976e+00,-8.8925e-01,7.9733e-01,8.6557e-01,2.8219e+00
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,-4.8135e+05,-4.8136e+05,-3.1968e-02,-4.8136e+05,1.1775e-01,6.9397e+00,4.8047e+05,4.9769e+03,-2.4575e-01,-8.7992e-01,-1.7338e+00,-3.3537e-01,-5.2645e-01,1.8318e+00,2.7471e+00
2.0000e+03,1.7000e+01,1.0000e+00,3.2882e+00,-4.8097e+05,-4.8098e+05,-3.3966e-02,-4.8098e+05,1.1777e-01,6.9417e+00,4.7956e+05,4.9859e+03,6.4307e-02,-5.5567e-01,-2.5672e+00,3.3493e-02,-6.3808e-02,1.6916e+00,2.8132e+00
2.0000e+03,1.8000e+01,1.0000e+00,3.4749e+00,-4.8066e+05,-4.8067e+05,-3.5964e-02,-4.8067e+05,1.1779e-01,6.9437e+00,4.7918e+05,4.9950e+03,5.5323e-02,-4.3570e-01,-1.2746e+00,-8.2301e-01,-8.1240e-01,2.1005e+00,2.7149e+00
2.0000e+03,1.9000e+01,1.0000e+00,3.6609e+00,-4.8049e+05,-4.8050e+05,-3.7962e-02,-4.8050e+05,1.1780e-01,6.9457e+00,4.7887e+05,5.0040e+03,-1.4692e-01,-9.6183e-01,-2.1682e+00,-9.9026e-01,1.1961e-01,1.6254e-01,2.7746e+00
2.0000e+03,2.0000e+01,1.0000e+00,3.8462e+00,-4.7952e+05,-4.7952e+05,-3.9960e-02,-4.7952e+05,1.1782e-01,6.9477e+00,4.7870e+05,5.0131e+03,-1.2277e-01,-8.8811e-01,-1.5519e+00,-6.0190e-01,-1.1102e+00,1.3435e+00,2.7598e+00
2.0000e+03,2.1000e+01,1.0000e+00,4.0307e+00,-4.7893e+05,-4.7893e+05,-4.1958e-02,-4.7893e+05,1.1784e-01,6.9497e+00,4.7773e+05,5.0221e+03,-3.8934e-01,-8.9692e-01,-2.5536e+00,-1.1473e+00,-6.3497e-02,1.8412e+00,2.6731e+00
2.0000e+03,2.2000e+01,1.0000e+00,4.2146e+00,-4.7863e+05,-4.7864e+05,-4.3956e-02,-4.7864e+05,1.1785e-01,6.9517e+00,4.7714e+05,5.0327e+03,-3.6255e-02,-3.5261e-01,-1.9827e+00,2.2605e-01,-2.3506e-01,1.7240e+00,2.8748e+00
2.0000e+03,2.3000e+01,1.0000e+00,4.3977e+00,-4.7712e+05,-4.7713e+05,-4.5954e-02,-4.7713e+05,1.1787e-01,6.9537e+00,4.7684e+05,5.0419e+03,-4.6919e-01,-8.7906e-01,-1.3713e+00,-1.0810e+00,-5.1196e-01,1.8578e+00,2.6650e+00
2.0000e+03,2.4000e+01,1.0000e+00,4.5802e+00,-4.7696e+05,-4.7696e+05,-4.7952e-02,-4.7696e+05,1.1789e-01,6.9557e+00,4.7533e+05,5.0508e+03,-1.5483e-01,-9.3037e-01,-9.4645e-01,-1.4872e+00,6.6583e-01,5.1871e-01,2.7995e+00
2.0000e+03,2.5000e+01,2.0000e+00,4.7529e+00,-4.7685e+05,-4.7686e+05,-4.9950e-02,-4.7686e+05,1.1790e-01,6.9577e+00,4.7517e+05,5.0688e+03,-1.6703e-01,-7.5233e-02,-1.4234e+00,-1.5707e+00,2.1588e-02,3.4992e-01,2.9355e+00
2.0000e+03,2.6000e+01,1.0000e+00,4.9336e+00,-4.7649e+05,-4.7650e+05,-5.1948e-02,-4.7650e+05,1.1792e-01,6.9597e+00,4.7506e+05,5.0778e+03,-2.1145e-03,-9.5404e-01,-1.0152e+00,1.5211e-01,8.1448e-01,1.6072e+00,2.8010e+00
2.0000e+03,2.7000e+01,1.0000e+00,5.1136e+00,-4.7596e+05,-4.7596e+05,-5.3946e-02,-4.7596e+05,1.1794e-01,6.9617e+00,4.7470e+05,5.0868e+03,-3.3339e-01,-7.0778e-01,-1.7357e+00,1.9318e-02,7.9433e-01,2.0222e+00,2.6933e+00
2.0000e+03,2.8000e+01,1.0000e+00,5.2930e+00,-4.7569e+05,-4.7569e+05,-5.5944e-02,-4.7569e+05,1.1796e-01,6.9637e+00,4.7417e+05,5.0957e+03,-4.5716e-01,-3.3058e-01,-1.2321e+00,-3.1756e-01,4.7000e-01,1.2241e+00,2.8672e+00
2.0000e+03,2.9000e+01,1.0000e+00,5.4717e+00,-4.7525e+05,-4.7526e+05,-5.7942e-02,-4.7526e+05,1.1797e-01,6.9657e+00,4.7390e+05,5.1049e+03,-4.4863e-01,-5.3125e-01,-2.0574e+00,-1.5684e+00,-8.5207e-01,1.9340e+00,2.6794e+00
2.0000e+03,3.0000e+01,1.0000e+00,5.6497e+00,-4.7525e+05,-4.7525e+05,-5.9940e-02,-4.7525e+05,1.1522e-01,6.6444e+00,4.7346e+05,5.1139e+03,1.1177e-01,-9.0796e-01,-9.9073e-01,-1.7009e+00,6.0413e-01,1.9061e+00,2.6363e+00
2.0000e+03,3.1000e+01,1.0000e+00,5.8271e+00,-4.7476e+05,-4.7477e+05,-6.1938e-02,-4.7477e+05,1.1801e-01,6.9697e+00,4.7346e+05,5.1247e+03,-2.6131e-01,-2.1181e-01,-1.6375e+00,-9.0263e-01,-4.6787e-01,1.9499e+00,2.7965e+00
2.0000e+03,3.2000e+01,1.0000e+00,6.0038e+00,-4.7466e+05,-4.7467e+05,-6.3936e-02,-4.7467e+05,1.1802e-01,6.9717e+00,4.7297e+05,5.1354e+03,-4.6192e-01,-4.6489e-02,-2.4085e+00,-1.5803e+00,7.4984e-01,1.7802e+00,2.8808e+00
2.0000e+03,3.3000e+01,1.0000e+00,6.1798e+00,-4.7450e+05,-4.7451e+05,-6.5934e-02,-4.7451e+05,1.1804e-01,6.9737e+00,4.7287e+05,5.1461e+03,-1.4194e-01,-9.6817e-01,-1.2959e+00,-4.7469e-01,-8.0364e-01,1.3520e+00,2.7257e+00
2.0000e+03,3.4000e+01,1.0000e+00,6.3551e+00,-4.7367e+05,-4.7368e+05,-6.7932e-02,-4.7368e+05,1.1806e-01,6.9757e+00,4.7271e+05,5.1551e+03,-3.9885e-01,-9.3519e-01,-2.1559e+00,-3.4561e-01,5.3784e-02,1.5432e+00,2.6834e+00
2.0000e+03,3.5000e+01,1.0000e+00,6.5299e+00,-4.7324e+05,-4.7325e+05,-6.9930e-02,-4.7325e+05,1.1807e-01,6.9777e+00,4.7189e+05,5.1658e+03,-4.8704e-01,-7.0647e-01,-2.2307e+00,-1.6603e+00,4.8435e-01,7.7619e-01,2.7193e+00
2.0000e+03,3.6000e+01,1.0000e+00,6.7039e+00,-4.7303e+05,-4.7303e+05,-7.1928e-02,-4.7303e+05,1.1809e-01,6.9797e+00,4.7145e+05,5.1767e+03,6.7690e-02,-6.3122e-01,-2.2007e+00,-1.2502e+00,6.1897e-01,8.4278e-01,2.7116e+00
2.0000e+03,3.7000e+01,1.0000e+00,6.8773e+00,-4.7292e+05,-4.7293e+05,-7.3926e-02,-4.7293e+05,1.1811e-01,6.9817e+00,4.7124e+05,5.1858e+03,-2.7196e-01,-2.8771e-01,-8.4630e-01,1.9711e-01,4.8366e-01,1.8412e+00,2.8662e+00
2.0000e+03,3.8000e+01,1.0000e+00,7.0501e+00,-4.7226e+05,-4.7227e+05,-7.5924e-02,-4.7227e+05,1.1812e-01,6.9837e+00,4.7113e+05,5.1947e+03,4.3929e-02,-2.6211e-02,-1.6953e+00,-8.4419e-01,-1.0795e+00,1.3206e+00,2.8651e+00
2.0000e+03,3.9000e+01,1.0000e+00,7.2222e+00,-4.7223e+05,-4.7224e+05,-7.7922e-02,-4.7224e+05,1.1814e-01,6.9857e+00,4.7047e+05,5.2036e+03,-4.3955e-01,-5.3698e-01,-1.0490e+00,-1.5251e+00,5.8224e-01,1.3028e+00,2.7667e+00
2.0000e+03,4.0000e+01,2.0000e+00,7.3801e+00,-4.7150e+05,-4.7151e+05,-7.9920e-02,-4.7151e+05,1.1816e-01,6.9877e+00,4.7044e+05,5.2233e+03,-4.6857e-01,-8.2581e-01,-1.6355e+00,-1.3880e+00,9.4906e-03,1.1366e+00,2.6733e+00
2.0000e+03,4.1000e+01,1.0000e+00,7.5506e+00,-4.7027e+05,-4.7028e+05,-8.1918e-02,-4.7028e+05,1.1818e-01,6.9897e+00,4.6971e+05,5.2340e+03,-2.1858e-01,-4.4283e-01,-1.8558e+00,1.5541e-01,3.7039e-01,1.2941e+00,2.8047e+00
2.0000e+03,4.2000e+01,1.0000e+00,7.7206e+00,-4.7023e+05,-4.7024e+05,-8.3916e-02,-4.7024e+05,1.1819e-01,6.9917e+00,4.6848e+05,5.2432e+03,-4.5047e-01,-3.3099e-01,-2.0754e+00,-5.5034e-01,-6.6562e-01,6.4373e-01,2.8012e+00
2.0000e+03,4.3000e+01,1.0000e+00,7.8899e+00,-4.6988e+05,-4.6989e+05,-8.5914e-02,-4.6989e+05,1.1821e-01,6.9937e+00,4.6844e+05,5.2540e+03,-2.7188e-01,-2.8501e-01,-1.3181e+00,-1.6964e+00,-5.5210e-01,1.2696e+00,2.7971e+00
