nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-9.9347e+05,-9.9348e+05,-3.3278e-03,-9.9348e+05,1.4594e-01,6.4003e+00,inf,2.3373e+03,-3.5468e-01,-1.7587e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-9.8426e+05,-9.8426e+05,-6.6556e-03,-9.8426e+05,1.4598e-01,6.4036e+00,3.9661e+05,2.3451e+03,3.9477e-01,-2.8593e-01,2.1302e+00,2.4461e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-9.8013e+05,-9.8013e+05,-9.9834e-03,-9.8013e+05,1.4602e-01,6.4069e+00,3.8739e+05,2.3535e+03,-9.0571e-01,-5.6403e-01,6.9890e+00,1.1083e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-9.7546e+05,-9.7546e+05,-1.3311e-02,-9.7546e+05,1.4605e-01,6.4102e+00,3.8326e+05,2.3623e+03,-1.1894e+00,-7.0088e-01,6.9083e+00,1.3927e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-9.7131e+05,-9.7132e+05,-1.6639e-02,-9.7132e+05,1.4609e-01,6.4136e+00,3.7859e+05,2.3689e+03,-3.9506e-01,-1.4539e+00,6.8725e+00,1.3389e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-9.6964e+05,-9.6964e+05,-1.9967e-02,-9.6964e+05,1.4613e-01,6.4169e+00,3.7445e+05,2.3764e+03,2.3527e-01,-1.1097e+00,2.1459e+00,2.2332e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-9.6629e+05,-9.6630e+05,-2.3295e-02,-9.6630e+05,1.4617e-01,6.4202e+00,3.7277e+05,2.3841e+03,1.4548e-01,-1.5196e+00,2.0485e+00,4.5783e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-9.6485e+05,-9.6486e+05,-2.6622e-02,-9.6486e+05,1.4621e-01,6.4235e+00,3.6943e+05,2.3906e+03,-1.0371e+00,-1.8090e-02,2.0300e+00,6.7715e+00
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-9.5947e+05,-9.5947e+05,-2.9950e-02,-9.5947e+05,1.4624e-01,6.4269e+00,3.6799e+05,2.3994e+03,-1.4813e+00,-1.9870e-01,6.8862e+00,1.1182e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-9.5817e+05,-9.5818e+05,-3.3278e-02,-9.5818e+05,1.4628e-01,6.4302e+00,3.6260e+05,2.4092e+03,-7.0012e-02,-5.5182e-01,2.0934e+00,5.7877e+00
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-9.5730e+05,-9.5731e+05,-3.6606e-02,-9.5731e+05,1.4632e-01,6.4336e+00,3.6131e+05,2.4172e+03,4.6472e-01,-1.7350e+00,2.3014e+00,1.4507e+00
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-9.5705e+05,-9.5706e+05,-3.9933e-02,-9.5706e+05,1.4636e-01,6.4368e+00,3.6044e+05,2.4247e+03,-1.0965e+00,-6.0341e-01,6.7610e+00,1.7810e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-9.5554e+05,-9.5554e+05,-4.3261e-02,-9.5554e+05,1.4640e-01,6.4402e+00,3.6019e+05,2.4327e+03,3.0747e-01,-1.7230e+00,2.0077e+00,1.2295e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-9.5396e+05,-9.5397e+05,-4.6589e-02,-9.5397e+05,1.4643e-01,6.4435e+00,3.5867e+05,2.4417e+03,-8.8663e-01,-1.8868e+00,6.6842e+00,1.8090e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-9.5239e+05,-9.5240e+05,-4.9917e-02,-9.5240e+05,1.4647e-01,6.4469e+00,3.5710e+05,2.4497e+03,-1.1131e+00,-5.1990e-01,6.7836e+00,1.0366e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-9.5227e+05,-9.5228e+05,-5.3245e-02,-9.5228e+05,1.4651e-01,6.4501e+00,3.5553e+05,2.4575e+03,-6.6649e-01,-9.2830e-01,2.0310e+00,6.0828e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-9.5225e+05,-9.5226e+05,-5.6572e-02,-9.5226e+05,1.4655e-01,6.4536e+00,3.5541e+05,2.4640e+03,-6.2538e-01,-8.1379e-01,6.7572e+00,1.1107e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-9.4947e+05,-9.4947e+05,-5.9900e-02,-9.4947e+05,1.4658e-01,6.4568e+00,3.5538e+05,2.4733e+03,-1.4756e+00,-1.0860e+00,6.6588e+00,1.6936e+01
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-9.4839e+05,-9.4839e+05,-6.3228e-02,-9.4839e+05,1.4662e-01,6.4602e+00,3.5260e+05,2.4814e+03,-5.1007e-01,-3.8024e-01,6.7728e+00,1.2786e+01
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-9.4726e+05,-9.4727e+05,-6.6556e-02,-9.4727e+05,1.4666e-01,6.4634e+00,3.5152e+05,2.4899e+03,-3.0474e-01,-1.1543e+00,6.6674e+00,1.9880e+01
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-9.4710e+05,-9.4711e+05,-6.9884e-02,-9.4711e+05,1.4670e-01,6.4668e+00,3.5040e+05,2.4974e+03,-1.2240e+00,-1.1944e+00,6.6565e+00,1.3496e+01
2.0000e+03,2.2000e+01,1.0000e+00,6.8323e+00,-9.4681e+05,-9.4681e+05,-7.3211e-02,-9.4681e+05,1.4674e-01,6.4701e+00,3.5024e+05,2.5054e+03,3.0702e-01,-6.5315e-02,2.3377e+00,6.4200e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.1207e+00,-9.4478e+05,-9.4479e+05,-7.6539e-02,-9.4479e+05,1.4677e-01,6.4735e+00,3.4994e+05,2.5130e+03,-6.0719e-01,-1.3863e+00,2.0864e+00,5.9412e+00
2.0000e+03,2.4000e+01,1.0000e+00,7.4074e+00,-9.4467e+05,-9.4467e+05,-7.9867e-02,-9.4467e+05,1.4681e-01,6.4769e+00,3.4792e+05,2.5210e+03,2.8377e-01,-3.7929e-01,6.8205e+00,1.9159e+01
2.0000e+03,2.5000e+01,1.0000e+00,7.6923e+00,-9.4416e+05,-9.4416e+05,-8.3195e-02,-9.4416e+05,1.4685e-01,6.4801e+00,3.4780e+05,2.5295e+03,-7.5315e-01,-1.9752e+00,6.6095e+00,1.7478e+01
2.0000e+03,2.6000e+01,1.0000e+00,7.9755e+00,-9.4238e+05,-9.4239e+05,-8.6523e-02,-9.4239e+05,1.4689e-01,6.4834e+00,3.4729e+05,2.5360e+03,2.6808e-01,-8.6589e-01,6.9724e+00,3.6569e+00
2.0000e+03,2.7000e+01,1.0000e+00,8.2569e+00,-9.4223e+05,-9.4224e+05,-8.9850e-02,-9.4224e+05,1.4692e-01,6.4868e+00,3.4552e+05,2.5437e+03,4.3167e-01,-1.7057e+00,2.1482e+00,1.1918e+01
2.0000e+03,2.8000e+01,1.0000e+00,8.5366e+00,-9.4209e+05,-9.4209e+05,-9.3178e-02,-9.4209e+05,1.4696e-01,6.4902e+00,3.4537e+05,2.5526e+03,-1.0036e+00,-4.0064e-01,2.0944e+00,9.6590e+00
2.0000e+03,2.9000e+01,1.0000e+00,8.8146e+00,-9.4054e+05,-9.4055e+05,-9.6506e-02,-9.4055e+05,1.4700e-01,6.4934e+00,3.4522e+05,2.5602e+03,-1.0570e-01,-1.1808e+00,2.0286e+00,1.9085e+01
2.0000e+03,3.0000e+01,1.0000e+00,9.0909e+00,-9.3830e+05,-9.3831e+05,-9.9834e-02,-9.3831e+05,1.4704e-01,6.4968e+00,3.4368e+05,2.5683e+03,1.6442e-01,-4.4707e-01,2.3058e+00,6.5161e+00
2.0000e+03,3.1000e+01,1.0000e+00,9.3656e+00,-9.3782e+05,-9.3782e+05,-1.0316e-01,-9.3782e+05,1.4707e-01,6.5001e+00,3.4144e+05,2.5762e+03,2.0855e-01,-1.1553e+00,2.4422e+00,1.2282e+00
2.0000e+03,3.2000e+01,1.0000e+00,9.6386e+00,-9.3709e+05,-9.3710e+05,-1.0649e-01,-9.3710e+05,1.4711e-01,6.5035e+00,3.4095e+05,2.5856e+03,-1.1615e+00,-1.8737e+00,2.1611e+00,4.9244e+00
2.0000e+03,3.3000e+01,1.0000e+00,9.9099e+00,-9.3692e+05,-9.3692e+05,-1.0982e-01,-9.3692e+05,1.4715e-01,6.5067e+00,3.4023e+05,2.5934e+03,-5.0420e-02,-5.6664e-01,2.2054e+00,8.8457e+00
2.0000e+03,3.4000e+01,1.0000e+00,1.0180e+01,-9.3466e+05,-9.3467e+05,-1.1314e-01,-9.3467e+05,1.4719e-01,6.5101e+00,3.4005e+05,2.6010e+03,4.3245e-03,-1.8991e+00,2.4133e+00,8.6781e-01
2.0000e+03,3.5000e+01,1.0000e+00,1.0448e+01,-9.3438e+05,-9.3439e+05,-1.1647e-01,-9.3439e+05,1.4723e-01,6.5134e+00,3.3780e+05,2.6090e+03,8.1048e-02,-1.5837e-02,6.7940e+00,1.5860e+01
2.0000e+03,3.6000e+01,1.0000e+00,1.0714e+01,-9.3365e+05,-9.3366e+05,-1.1980e-01,-9.3366e+05,1.4726e-01,6.5168e+00,3.3752e+05,2.6178e+03,3.2170e-01,-6.1573e-01,2.2147e+00,1.6688e+01
