niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4264e+05,-1.4264e+05,-2.4969e-03,-1.4264e+05,1.2922e-01,6.6871e+00,inf,6.6317e-01,-2.6831e-02,-1.4816e+00,1.1163e+00,3.4556e+00,3.9445e+00,5.2893e+00,5.7827e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.4243e+05,-1.4243e+05,-4.9938e-03,-1.4243e+05,1.2924e-01,6.6896e+00,1.2935e+05,1.3215e+00,-6.6183e-01,-1.3484e+00,-1.2528e-01,3.2593e+00,4.0279e+00,4.6402e+00,5.7024e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.4238e+05,-1.4239e+05,-7.4906e-03,-1.4239e+05,1.2926e-01,6.6921e+00,1.2913e+05,1.9628e+00,-5.1427e-01,-1.8607e+00,-3.2001e-01,3.2631e+00,7.6673e-01,3.4692e+00,5.7935e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.4217e+05,-1.4218e+05,-9.9875e-03,-1.4218e+05,1.2929e-01,6.6946e+00,1.2909e+05,2.6101e+00,-2.5311e-01,-1.4600e+00,-4.1343e-01,2.8512e+00,3.8032e+00,2.6584e+00,5.7695e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.4208e+05,-1.4208e+05,-1.2484e-02,-1.4208e+05,1.2931e-01,6.6971e+00,1.2888e+05,3.2528e+00,-9.2384e-01,-5.6973e-01,-3.4134e-01,2.5267e-01,4.2093e+00,4.7262e+00,5.7477e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.4203e+05,-1.4204e+05,-1.4981e-02,-1.4204e+05,1.2934e-01,6.6996e+00,1.2878e+05,3.9073e+00,-6.3093e-01,-1.9361e+00,-6.5729e-02,1.2572e-01,3.2840e+00,4.7218e+00,5.5938e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.4197e+05,-1.4198e+05,-1.7478e-02,-1.4198e+05,1.2936e-01,6.7021e+00,1.2874e+05,4.3791e+00,8.0521e-02,-6.4461e-01,5.3542e-02,9.7232e-01,3.2609e+00,4.9892e+00,5.7920e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.4184e+05,-1.4184e+05,-1.9975e-02,-1.4184e+05,1.2939e-01,6.7046e+00,1.2868e+05,4.8596e+00,-7.2510e-02,-1.0289e+00,5.1031e-01,3.8653e+00,2.2395e+00,4.6136e+00,5.7358e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.4162e+05,-1.4163e+05,-2.2472e-02,-1.4163e+05,1.2941e-01,6.7071e+00,1.2855e+05,5.3731e+00,-9.6318e-01,-1.6140e+00,5.8355e-01,-2.0750e-02,2.3483e+00,4.7926e+00,5.5499e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.4148e+05,-1.4149e+05,-2.4969e-02,-1.4149e+05,1.2943e-01,6.7096e+00,1.2833e+05,5.9111e+00,-1.0303e-01,-1.4857e+00,1.2817e-02,3.6097e-01,1.1306e+00,2.3266e+00,5.6605e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.4143e+05,-1.4144e+05,-2.7466e-02,-1.4144e+05,1.2946e-01,6.7121e+00,1.2819e+05,6.5430e+00,-8.9726e-01,-1.2969e+00,3.6084e-01,2.7646e-01,1.0054e+00,5.0338e+00,5.3449e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.4136e+05,-1.4137e+05,-2.9963e-02,-1.4137e+05,1.2948e-01,6.7146e+00,1.2814e+05,7.2046e+00,-1.0873e-01,-1.7345e+00,6.2655e-01,9.0515e-01,9.7222e-01,4.9653e+00,5.4975e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.4131e+05,-1.4131e+05,-3.2459e-02,-1.4131e+05,1.2951e-01,6.7171e+00,1.2807e+05,7.7082e+00,-5.2262e-01,-8.1771e-01,1.2008e+00,1.6080e+00,1.7738e+00,5.0655e+00,5.5791e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.4130e+05,-1.4131e+05,-3.4956e-02,-1.4131e+05,1.2876e-01,6.6402e+00,1.2802e+05,8.3781e+00,1.4539e-01,-1.1995e+00,1.8312e+00,2.3362e+00,2.1536e+00,5.1169e+00,5.8331e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.4120e+05,-1.4121e+05,-3.7453e-02,-1.4121e+05,1.2955e-01,6.7221e+00,1.2801e+05,9.0343e+00,-7.8162e-01,-1.5957e+00,-7.2130e-01,7.2863e-01,4.2522e+00,5.2619e+00,1.8728e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.4118e+05,-1.4119e+05,-3.9950e-02,-1.4119e+05,1.2958e-01,6.7246e+00,1.2791e+05,9.6849e+00,-7.7869e-01,-1.8454e+00,-6.3152e-01,1.1187e+00,2.5826e+00,4.8482e+00,5.3324e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.4115e+05,-1.4116e+05,-4.2447e-02,-1.4116e+05,1.2960e-01,6.7271e+00,1.2789e+05,1.0368e+01,-9.0094e-01,-9.9648e-01,3.2500e-01,2.3125e+00,1.3783e+00,2.4532e+00,5.5885e+00
1.8000e+01,1.0000e+00,4.3062e+00,-1.4115e+05,-1.4115e+05,-4.4944e-02,-1.4115e+05,1.2940e-01,6.7061e+00,1.2786e+05,1.1025e+01,-3.9175e-01,-9.5524e-01,-5.6294e-01,3.8761e+00,1.6357e+00,1.6084e+00,5.5954e+00
1.9000e+01,1.0000e+00,4.5346e+00,-1.4108e+05,-1.4109e+05,-4.7441e-02,-1.4109e+05,1.2965e-01,6.7321e+00,1.2785e+05,1.1508e+01,-2.9385e-01,-1.9427e+00,1.3931e-01,1.4327e+00,2.9488e+00,1.4908e+00,5.5354e+00
2.0000e+01,1.0000e+00,4.7619e+00,-1.4108e+05,-1.4109e+05,-4.9938e-02,-1.4109e+05,1.2857e-01,6.6199e+00,1.2779e+05,1.2189e+01,-8.1482e-01,-1.4803e+00,4.8442e-01,1.9355e-01,3.7330e+00,5.3076e+00,3.2664e+00
2.1000e+01,1.0000e+00,4.9881e+00,-1.4103e+05,-1.4104e+05,-5.2434e-02,-1.4104e+05,1.2970e-01,6.7370e+00,1.2779e+05,1.2847e+01,-4.9150e-01,-1.8199e+00,1.0082e+00,2.7425e+00,1.6567e+00,4.8294e+00,5.4804e+00
2.2000e+01,1.0000e+00,5.2133e+00,-1.4100e+05,-1.4101e+05,-5.4931e-02,-1.4101e+05,1.2972e-01,6.7395e+00,1.2774e+05,1.3517e+01,-3.3407e-01,-6.1285e-01,1.6288e+00,2.7175e-01,2.7527e+00,1.8656e+00,5.8571e+00
2.3000e+01,1.0000e+00,5.4374e+00,-1.4094e+05,-1.4095e+05,-5.7428e-02,-1.4095e+05,1.2975e-01,6.7420e+00,1.2771e+05,1.4019e+01,-4.3715e-01,-1.1642e+00,7.6416e-01,3.7240e+00,3.4503e+00,3.7539e+00,5.5956e+00
2.4000e+01,1.0000e+00,5.6604e+00,-1.4093e+05,-1.4094e+05,-5.9925e-02,-1.4094e+05,1.2976e-01,6.7438e+00,1.2765e+05,1.4689e+01,2.0650e-01,-1.3703e+00,2.9995e-01,1.1342e+00,3.3341e+00,5.3742e+00,4.0648e+00
2.5000e+01,1.0000e+00,5.8824e+00,-1.4083e+05,-1.4084e+05,-6.2422e-02,-1.4084e+05,1.2979e-01,6.7470e+00,1.2764e+05,1.5356e+01,-4.1992e-01,-8.2218e-01,-6.5154e-01,1.5574e+00,3.4317e+00,1.4327e+00,5.5700e+00
2.6000e+01,1.0000e+00,6.1033e+00,-1.4080e+05,-1.4081e+05,-6.4919e-02,-1.4081e+05,1.2982e-01,6.7495e+00,1.2754e+05,1.5839e+01,-2.0003e-02,-1.9706e+00,1.4075e-01,1.8673e+00,2.5472e+00,5.2189e+00,4.8999e+00
2.7000e+01,1.0000e+00,6.3232e+00,-1.4078e+05,-1.4079e+05,-6.7416e-02,-1.4079e+05,1.2984e-01,6.7520e+00,1.2751e+05,1.6472e+01,-7.9668e-01,-1.8094e+00,5.9902e-01,2.4154e+00,9.9118e-01,5.2808e+00,2.5798e+00
2.8000e+01,2.0000e+00,6.5268e+00,-1.4069e+05,-1.4070e+05,-6.9913e-02,-1.4070e+05,1.2987e-01,6.7545e+00,1.2749e+05,1.7618e+01,-4.3978e-01,-6.9508e-01,9.4118e-01,1.2602e+00,2.8028e+00,1.5603e+00,5.6339e+00
