logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.2542e-01,-1.6762e+00,-1.5702e+00,-1.2370e+00,-1.0381e-01,3.1461e+00,2.6708e+00,2.9769e+01,-1.3138e+03
-5.5270e-01,-1.6100e+00,-1.5593e-01,1.3047e+00,2.2278e-01,3.1148e+00,2.7150e+00,2.9734e+01,-1.0967e+03
-8.7712e-01,-1.3667e+00,-1.5245e+00,-4.8588e-01,7.3954e-02,3.2223e+00,2.5563e+00,2.9896e+01,-1.3773e+03
-8.3738e-01,-1.6687e+00,-1.9761e+00,9.9763e-01,-6.3187e-01,2.7965e+00,3.2760e+00,2.9858e+01,-1.3255e+03
-5.9839e-01,-1.6895e+00,-2.6835e+00,1.2139e+00,1.4157e+00,3.0812e+00,2.8987e+00,2.9811e+01,-1.2070e+03
-9.4267e-01,-1.3382e+00,-1.8484e+00,1.2988e+00,9.6326e-01,2.8498e+00,3.1637e+00,2.9765e+01,-1.2340e+03
-7.8106e-01,-1.3975e+00,5.8844e-02,1.3098e+00,1.5432e+00,2.9939e+00,3.0622e+00,2.9867e+01,-1.0883e+03
-7.6089e-01,-1.7589e+00,-2.0255e+00,1.0371e+00,1.8463e+00,2.0703e+00,3.2595e+00,2.9609e+01,-1.3687e+03
-7.3177e-01,-1.7658e+00,1.6965e-01,5.4401e-01,-5.8685e-01,2.8570e+00,3.0510e+00,2.9615e+01,-1.2651e+03
-6.6898e-01,-1.5233e+00,1.5732e-01,-1.5303e+00,1.5506e+00,3.0771e+00,2.2985e+00,2.9507e+01,-1.3561e+03
-7.7252e-01,-1.6103e+00,2.5247e-01,-1.3022e+00,-2.6683e-01,2.8950e+00,3.1249e+00,2.9729e+01,-1.3321e+03
-8.1205e-01,-1.5244e+00,-1.2932e-02,-1.0573e+00,1.7181e+00,3.0448e+00,3.0464e+00,2.9911e+01,-1.2557e+03
-6.6101e-01,-1.6045e+00,-2.8788e-01,1.0512e+00,1.9823e+00,2.7924e+00,3.0495e+00,2.9628e+01,-1.3263e+03
-7.0250e-01,-1.7414e+00,9.2295e-02,-9.8813e-01,-4.0196e-01,3.2352e+00,2.7483e+00,3.0013e+01,-1.2674e+03
-7.1181e-01,-1.4383e+00,-1.7105e+00,3.9735e-01,2.3211e-01,3.2225e+00,2.3236e+00,2.9809e+01,-1.3448e+03
-8.3305e-01,-1.4840e+00,-6.2495e-01,1.2660e+00,9.5168e-01,2.3324e+00,3.1898e+00,2.9434e+01,-1.3403e+03
-5.7216e-01,-1.6165e+00,-6.4878e-01,1.2736e+00,8.6230e-01,2.9276e+00,3.0056e+00,2.9621e+01,-1.2853e+03
-7.8092e-01,-1.4726e+00,-1.0142e+00,-1.5688e+00,3.2388e-01,3.2643e+00,2.1545e+00,2.9883e+01,-1.3565e+03
