niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.3884e+05,-1.3885e+05,-2.4969e-03,-1.3885e+05,1.2922e-01,6.6871e+00,inf,6.5891e-01,-5.1427e-01,-1.8607e+00,-1.0294e+00,2.5837e+00,1.8089e-01,3.1949e+00,5.8718e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.3876e+05,-1.3876e+05,-4.9938e-03,-1.3876e+05,1.2924e-01,6.6896e+00,1.3700e+05,1.3193e+00,-2.6831e-02,-1.4816e+00,4.0693e-01,2.7762e+00,3.3586e+00,5.0149e+00,5.8610e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.3846e+05,-1.3847e+05,-7.4906e-03,-1.3847e+05,1.2926e-01,6.6921e+00,1.3691e+05,1.9750e+00,-2.5311e-01,-1.4600e+00,-1.1228e+00,2.1717e+00,3.2174e+00,2.3841e+00,5.8478e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.3840e+05,-1.3840e+05,-9.9875e-03,-1.3840e+05,1.2929e-01,6.6946e+00,1.3662e+05,2.6154e+00,1.4539e-01,-1.1995e+00,1.1218e+00,1.6567e+00,1.5677e+00,4.8425e+00,5.9114e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.3837e+05,-1.3838e+05,-1.2484e-02,-1.3838e+05,1.2931e-01,6.6971e+00,1.3655e+05,3.2752e+00,-6.6183e-01,-1.3484e+00,-8.3467e-01,2.5798e+00,3.4420e+00,4.3658e+00,5.7807e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.3804e+05,-1.3805e+05,-1.4981e-02,-1.3805e+05,1.2934e-01,6.6996e+00,1.3653e+05,3.9237e+00,-9.2384e-01,-5.6973e-01,-1.0507e+00,-4.2678e-01,3.6234e+00,4.4519e+00,5.8260e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.3799e+05,-1.3799e+05,-1.7478e-02,-1.3799e+05,1.2936e-01,6.7021e+00,1.3620e+05,4.4112e+00,-9.1433e-01,-9.9587e-01,1.3022e+00,2.0987e+00,3.0637e+00,3.3396e+00,5.7989e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.3794e+05,-1.3795e+05,-1.9975e-02,-1.3795e+05,1.2939e-01,6.7046e+00,1.3614e+05,4.8928e+00,-3.3407e-01,-6.1285e-01,9.1943e-01,-4.0769e-01,2.1669e+00,1.5912e+00,5.9354e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.3794e+05,-1.3795e+05,-2.2472e-02,-1.3795e+05,1.2701e-01,6.4610e+00,1.3610e+05,5.3968e+00,-7.2510e-02,-1.0289e+00,-1.9909e-01,3.1859e+00,1.6536e+00,4.3393e+00,5.8141e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.3784e+05,-1.3785e+05,-2.4969e-02,-1.3785e+05,1.2943e-01,6.7096e+00,1.3610e+05,5.9304e+00,8.0521e-02,-6.4461e-01,-6.5585e-01,2.9287e-01,2.6751e+00,4.7149e+00,5.8703e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.3774e+05,-1.3775e+05,-2.7466e-02,-1.3775e+05,1.2946e-01,6.7121e+00,1.3600e+05,6.6018e+00,-6.3093e-01,-1.9361e+00,-7.7512e-01,-5.5372e-01,2.6981e+00,4.4474e+00,5.6721e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.3770e+05,-1.3771e+05,-2.9963e-02,-1.3771e+05,1.2948e-01,6.7146e+00,1.3590e+05,7.2681e+00,-9.6318e-01,-1.6140e+00,-1.2585e-01,-7.0019e-01,1.7625e+00,4.5183e+00,5.6283e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.3744e+05,-1.3744e+05,-3.2459e-02,-1.3744e+05,1.2951e-01,6.7171e+00,1.3586e+05,7.7664e+00,-1.0303e-01,-1.4857e+00,-6.9658e-01,-3.1847e-01,5.4472e-01,2.0522e+00,5.7388e+00
