logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.5647e-01,-1.5499e+00,-1.1312e+00,3.0815e-01,1.8436e+00,3.2544e+00,4.7464e+00,3.1251e+01,-1.4739e+02
-3.2597e-01,-1.3555e+00,4.2094e-01,6.8227e-01,1.3959e+00,2.6429e+00,4.7107e+00,3.1123e+01,-1.3487e+02
-3.2574e-01,-1.3077e+00,1.1758e-01,1.9228e+00,2.2447e+00,2.7807e+00,4.7188e+00,3.1176e+01,-1.5930e+02
-3.1932e-01,-1.4261e+00,-6.3084e-01,1.1251e+00,2.1962e+00,2.7965e+00,4.7791e+00,3.1326e+01,-1.5525e+02
-1.2093e-01,-1.8473e+00,5.2557e-02,1.3504e+00,1.9385e+00,3.3111e+00,4.5708e+00,3.0790e+01,-1.5141e+02
-2.8559e-01,-1.5621e+00,1.1253e-01,4.2358e-01,2.5659e+00,2.5273e+00,4.8002e+00,3.1378e+01,-1.2488e+02
-4.4698e-01,-1.1162e+00,1.4654e-01,5.7894e-01,1.8555e+00,3.4215e+00,4.7115e+00,3.1209e+01,-1.0462e+02
-5.9667e-02,-1.2736e+00,5.6753e-01,1.6873e+00,2.2190e+00,4.2753e+00,4.3777e+00,3.1044e+01,-1.4702e+02
-8.9713e-02,-1.5932e+00,7.2589e-01,1.0454e-01,2.0394e+00,3.8939e+00,4.6091e+00,3.1058e+01,-1.6687e+02
-1.9127e-01,-1.7727e+00,2.7182e-01,6.4874e-01,1.5317e+00,3.0364e+00,4.6680e+00,3.1014e+01,-8.2030e+01
-3.8146e-02,-1.4552e+00,-9.4632e-01,4.9971e-01,1.0612e+00,4.1913e+00,4.2742e+00,3.0775e+01,-9.4770e+01
-4.2388e-01,-1.1550e+00,-8.0685e-01,1.8876e+00,2.0095e+00,2.4384e+00,4.7875e+00,3.1329e+01,-1.0067e+02
7.5790e-02,-1.6639e+00,-2.5294e-01,1.6805e+00,1.9740e+00,4.0854e+00,4.3209e+00,3.0679e+01,-1.1548e+02
-5.7682e-01,-1.0313e+00,-1.9733e-01,9.6485e-02,1.0912e+00,3.0404e+00,4.7635e+00,3.1300e+01,-1.1210e+02
-4.9358e-02,-1.7312e+00,1.1160e-01,6.0233e-01,1.6163e+00,4.1031e+00,4.4490e+00,3.0906e+01,-1.2471e+02
-4.1591e-01,-1.0772e+00,-3.4829e-01,1.9315e+00,1.3688e+00,3.7457e+00,4.6983e+00,3.1248e+01,-1.3798e+02
-5.8390e-02,-1.5902e+00,-1.0727e-01,1.9687e-01,1.0578e+00,4.0256e+00,4.4714e+00,3.0881e+01,-1.4124e+02
-2.6359e-01,-1.4859e+00,-2.8087e-01,-4.3022e-02,7.7832e-01,3.4994e+00,4.7083e+00,3.1192e+01,-1.4562e+02
-4.6753e-02,-1.9583e+00,-5.3263e-01,1.3972e+00,2.3114e+00,3.7952e+00,4.5164e+00,3.0791e+01,-9.3513e+01
-1.4659e-01,-1.9456e+00,3.8276e-01,7.6337e-01,1.5933e+00,2.6354e+00,4.6811e+00,3.0995e+01,-1.2853e+02
-3.4320e-01,-1.1375e+00,-4.0050e-01,1.6202e+00,8.3830e-01,3.8276e+00,4.6030e+00,3.1075e+01,-1.0685e+02
1.1650e-01,-1.8537e+00,4.6191e-02,6.9780e-01,1.1606e+00,4.1677e+00,4.1579e+00,3.0585e+01,-1.1491e+02
-4.1576e-01,-1.1057e+00,-1.8546e-01,1.7916e+00,2.4227e+00,3.6592e+00,4.7426e+00,3.1345e+01,-9.2181e+01
-1.6670e-01,-1.7532e+00,-7.8156e-02,1.7680e+00,2.0714e+00,2.5458e+00,4.6963e+00,3.1055e+01,-9.0359e+01
-3.2260e-01,-1.3374e+00,1.6604e-01,1.6646e+00,2.4210e+00,2.9478e+00,4.7837e+00,3.1346e+01,-1.4019e+02
-4.2832e-01,-1.1347e+00,-6.6767e-01,1.6768e+00,8.0775e-01,3.4012e+00,4.6865e+00,3.1140e+01,-1.4454e+02
-1.4011e-01,-1.7455e+00,-3.0210e-01,1.5266e+00,2.1857e+00,3.5985e+00,4.6758e+00,3.1114e+01,-1.2818e+02
-9.9753e-02,-1.3214e+00,-4.2400e-01,1.2681e+00,2.2565e+00,4.1486e+00,4.4684e+00,3.1019e+01,-1.2575e+02
-2.8045e-01,-1.5368e+00,5.2542e-01,5.1107e-01,2.0057e+00,2.4008e+00,4.7474e+00,3.1215e+01,-1.1930e+02
1.4112e-02,-1.7487e+00,2.2385e-01,2.4166e-01,2.5625e+00,3.9665e+00,4.4739e+00,3.0838e+01,-1.4219e+02
-2.7502e-01,-1.4806e+00,-9.6878e-01,1.3197e+00,1.8619e+00,2.4996e+00,4.7218e+00,3.1137e+01,-1.5824e+02
-2.9538e-01,-1.4881e+00,-9.3289e-01,1.1820e+00,7.8700e-01,3.2772e+00,4.7260e+00,3.1198e+01,-1.7204e+02
-1.5555e-01,-1.5053e+00,-7.4962e-01,1.2540e+00,1.9413e+00,3.6936e+00,4.5338e+00,3.0833e+01,-1.6603e+02
1.3632e-01,-1.8945e+00,-7.6732e-01,5.8344e-01,1.6039e+00,4.2150e+00,4.2255e+00,3.0712e+01,-1.4056e+02
-2.6730e-01,-1.5623e+00,-8.0523e-01,3.8917e-01,2.0492e+00,2.7089e+00,4.6978e+00,3.1101e+01,-9.9195e+01
4.0287e-02,-1.9466e+00,1.9054e-01,6.2532e-01,1.8539e+00,3.8738e+00,4.4304e+00,3.0674e+01,-1.2768e+02
-1.7294e-01,-1.6767e+00,-8.1384e-01,1.7724e+00,1.7063e+00,2.7926e+00,4.6544e+00,3.0952e+01,-1.2599e+02
-2.5261e-01,-1.4905e+00,2.5135e-01,2.2038e-02,1.0433e+00,2.7915e+00,4.6935e+00,3.1074e+01,-1.5679e+02
4.4528e-02,-1.9025e+00,-7.1615e-01,7.3328e-01,1.5803e+00,3.9128e+00,4.4574e+00,3.0750e+01,-1.6278e+02
-2.3628e-01,-1.4235e+00,3.3019e-01,7.0625e-01,2.3704e+00,3.7099e+00,4.6987e+00,3.1260e+01,-1.2253e+02
-6.8234e-02,-1.5275e+00,-2.4217e-01,8.2261e-01,2.3401e+00,4.0569e+00,4.4949e+00,3.0976e+01,-1.0570e+02
-2.4284e-01,-1.3035e+00,-9.9013e-01,1.9008e+00,1.9064e+00,3.7153e+00,4.6847e+00,3.1201e+01,-1.2840e+02
-2.3775e-01,-1.4154e+00,-5.4573e-01,1.8052e+00,1.4813e+00,2.9424e+00,4.7229e+00,3.1158e+01,-1.3456e+02
-2.2144e-01,-1.1474e+00,1.2756e-01,1.5182e-01,2.1288e+00,4.2423e+00,4.5640e+00,3.1317e+01,-1.3470e+02
-1.5169e-01,-1.9566e+00,-4.3049e-01,2.3071e-01,1.0395e+00,3.3361e+00,4.6601e+00,3.1011e+01,-9.9428e+01
-1.5587e-01,-1.8897e+00,-1.4320e-01,1.2709e+00,1.8241e+00,3.2738e+00,4.6655e+00,3.1028e+01,-1.6974e+02
-2.2595e-01,-1.4286e+00,-5.0597e-01,1.6942e+00,1.4198e+00,3.2799e+00,4.7017e+00,3.1140e+01,-1.0562e+02
-1.9236e-01,-1.6873e+00,-8.9042e-01,1.3264e+00,2.0758e+00,3.0035e+00,4.7169e+00,3.1137e+01,-1.1582e+02
7.9344e-02,-1.7302e+00,-4.4009e-01,1.3671e-01,1.3293e+00,4.1462e+00,4.2085e+00,3.0617e+01,-1.1833e+02
-8.0436e-02,-1.8156e+00,-6.4906e-02,1.2072e+00,1.4918e+00,3.6075e+00,4.5241e+00,3.0741e+01,-1.5666e+02
-3.0679e-01,-1.3809e+00,1.5045e-01,9.0707e-02,1.1685e+00,2.3948e+00,4.6843e+00,3.1050e+01,-1.4449e+02
-1.1047e-01,-1.2749e+00,2.8301e-01,5.6478e-01,1.7195e+00,4.1764e+00,4.3925e+00,3.0938e+01,-9.2719e+01
