niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-6.6864e+04,-6.6871e+04,-1.9980e-03,-6.6871e+04,1.1750e-01,6.9098e+00,inf,1.6617e+00,-9.6883e-01,-1.1163e+00,6.1839e-01,1.5853e+00,2.5525e+00,3.4353e+00,6.1326e+00,3.1053e+01
2.0000e+00,1.0000e+00,3.9841e-01,-6.2094e+04,-6.2101e+04,-3.9960e-03,-6.2101e+04,1.1751e-01,6.9118e+00,6.6563e+04,3.4256e+00,-7.8735e-01,-1.2816e+00,1.2038e+00,7.9353e-01,3.2135e+00,4.4240e+00,6.0095e+00,3.1151e+01
3.0000e+00,1.0000e+00,5.9642e-01,-5.9940e+04,-5.9947e+04,-5.9940e-03,-5.9947e+04,1.1753e-01,6.9137e+00,6.1793e+04,5.1765e+00,-4.9898e-02,-1.1674e+00,5.8411e-01,1.6226e+00,2.4413e+00,2.9659e+00,6.1544e+00,3.1283e+01
4.0000e+00,1.0000e+00,7.9365e-01,-5.9619e+04,-5.9625e+04,-7.9920e-03,-5.9625e+04,1.1755e-01,6.9157e+00,5.9639e+04,7.2366e+00,-6.6177e-01,-1.4777e+00,-3.3912e-01,1.9622e+00,3.0334e+00,4.0497e+00,6.1652e+00,3.1715e+01
5.0000e+00,1.0000e+00,9.9010e-01,-5.8525e+04,-5.8532e+04,-9.9900e-03,-5.8532e+04,1.1757e-01,6.9177e+00,5.9317e+04,9.0625e+00,-8.2816e-01,-1.3043e+00,6.0522e-01,1.2105e+00,2.7815e+00,4.5861e+00,6.0155e+00,3.1429e+01
6.0000e+00,1.0000e+00,1.1858e+00,-5.8243e+04,-5.8250e+04,-1.1988e-02,-5.8250e+04,1.1758e-01,6.9197e+00,5.8224e+04,1.1062e+01,-5.1180e-01,-1.1843e+00,1.4115e+00,2.3761e+00,1.4633e+00,3.1525e+00,6.1371e+00,3.1578e+01
7.0000e+00,1.0000e+00,1.3807e+00,-5.7034e+04,-5.7041e+04,-1.3986e-02,-5.7041e+04,1.1760e-01,6.9217e+00,5.7942e+04,1.2860e+01,-5.3174e-01,-1.9369e+00,3.2214e-01,1.9743e+00,2.8014e+00,3.3044e+00,5.9019e+00,3.1115e+01
8.0000e+00,1.0000e+00,1.5748e+00,-5.6441e+04,-5.6448e+04,-1.5984e-02,-5.6448e+04,1.1762e-01,6.9237e+00,5.6733e+04,1.4463e+01,2.3022e-01,-1.3895e+00,7.6762e-01,1.8438e+00,2.3700e+00,3.2871e+00,6.1381e+00,3.1384e+01
9.0000e+00,1.0000e+00,1.7682e+00,-5.5845e+04,-5.5852e+04,-1.7982e-02,-5.5852e+04,1.1763e-01,6.9257e+00,5.6140e+04,1.6179e+01,-4.0720e-01,-1.9489e+00,1.5646e-02,1.5844e+00,2.4570e+00,3.6484e+00,5.8954e+00,3.1131e+01
1.0000e+01,1.0000e+00,1.9608e+00,-5.4058e+04,-5.4065e+04,-1.9980e-02,-5.4065e+04,1.1765e-01,6.9277e+00,5.5544e+04,1.7933e+01,-3.3065e-01,-1.5552e+00,-4.9156e-01,1.7469e+00,3.1949e+00,4.8508e+00,6.0362e+00,3.1739e+01
