niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4462e+05,-1.4463e+05,-2.4969e-03,-1.4463e+05,1.2922e-01,6.6871e+00,inf,6.0447e-01,-5.1427e-01,-1.8607e+00,-5.2941e-01,3.0837e+00,6.8089e-01,3.6949e+00,6.3718e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.4448e+05,-1.4449e+05,-4.9938e-03,-1.4449e+05,1.2924e-01,6.6896e+00,1.4108e+05,1.1960e+00,-2.6831e-02,-1.4816e+00,9.0693e-01,3.2762e+00,3.8586e+00,5.5149e+00,6.3610e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.4414e+05,-1.4414e+05,-7.4906e-03,-1.4414e+05,1.2926e-01,6.6921e+00,1.4095e+05,1.7763e+00,-9.1433e-01,-9.9587e-01,1.8022e+00,2.5987e+00,3.5637e+00,3.8396e+00,6.2989e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.4412e+05,-1.4413e+05,-9.9875e-03,-1.4413e+05,1.2929e-01,6.6946e+00,1.4060e+05,2.3085e+00,-9.2384e-01,-5.6973e-01,-5.5074e-01,7.3224e-02,4.1234e+00,4.9519e+00,6.3260e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.4407e+05,-1.4407e+05,-1.2484e-02,-1.4407e+05,1.2931e-01,6.6971e+00,1.4058e+05,2.8821e+00,-3.3407e-01,-6.1285e-01,1.4194e+00,9.2305e-02,2.6669e+00,2.0912e+00,6.4354e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.4397e+05,-1.4398e+05,-1.4981e-02,-1.4398e+05,1.2934e-01,6.6996e+00,1.4053e+05,3.4347e+00,-2.5311e-01,-1.4600e+00,-6.2283e-01,2.6717e+00,3.7174e+00,2.8841e+00,6.3478e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.4385e+05,-1.4386e+05,-1.7478e-02,-1.4386e+05,1.2936e-01,6.7021e+00,1.4044e+05,3.8208e+00,-6.6183e-01,-1.3484e+00,-3.3467e-01,3.0798e+00,3.9420e+00,4.8658e+00,6.2807e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.4384e+05,-1.4385e+05,-1.9975e-02,-1.4385e+05,1.2938e-01,6.7036e+00,1.4031e+05,4.2133e+00,-7.2510e-02,-1.0289e+00,3.0091e-01,3.6859e+00,2.1536e+00,4.8393e+00,6.3141e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.4380e+05,-1.4380e+05,-2.2472e-02,-1.4380e+05,1.2941e-01,6.7071e+00,1.4030e+05,4.6236e+00,-6.3093e-01,-1.9361e+00,-2.7512e-01,-5.3721e-02,3.1981e+00,4.9474e+00,6.1721e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.4378e+05,-1.4379e+05,-2.4969e-02,-1.4379e+05,1.2943e-01,6.7096e+00,1.4026e+05,5.0488e+00,-9.6318e-01,-1.6140e+00,3.7415e-01,-2.0019e-01,2.2625e+00,5.0183e+00,6.1283e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.4373e+05,-1.4373e+05,-2.7466e-02,-1.4373e+05,1.2946e-01,6.7121e+00,1.4024e+05,5.6240e+00,-9.0094e-01,-9.9648e-01,1.1560e-01,2.1331e+00,1.2925e+00,2.6789e+00,6.1668e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.4366e+05,-1.4367e+05,-2.9963e-02,-1.4367e+05,1.2948e-01,6.7146e+00,1.4019e+05,6.2104e+00,1.4539e-01,-1.1995e+00,1.6218e+00,2.1567e+00,2.0677e+00,5.3425e+00,6.4114e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.4361e+05,-1.4361e+05,-3.2459e-02,-1.4361e+05,1.2951e-01,6.7171e+00,1.4012e+05,6.6118e+00,8.0521e-02,-6.4461e-01,-1.5585e-01,7.9287e-01,3.1751e+00,5.2149e+00,6.3703e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.4353e+05,-1.4353e+05,-3.4956e-02,-1.4353e+05,1.2953e-01,6.7196e+00,1.4007e+05,7.1947e+00,-4.3715e-01,-1.1642e+00,5.5476e-01,3.5446e+00,3.3645e+00,3.9796e+00,6.1739e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.4341e+05,-1.4341e+05,-3.7453e-02,-1.4341e+05,1.2955e-01,6.7221e+00,1.3999e+05,7.7636e+00,-1.0303e-01,-1.4857e+00,-1.9658e-01,1.8153e-01,1.0447e+00,2.5522e+00,6.2388e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.4339e+05,-1.4340e+05,-3.9950e-02,-1.4340e+05,1.2958e-01,6.7246e+00,1.3987e+05,8.3215e+00,-3.9175e-01,-9.5524e-01,-7.7234e-01,3.6967e+00,1.5499e+00,1.8340e+00,6.1737e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.4319e+05,-1.4320e+05,-4.2447e-02,-1.4320e+05,1.2960e-01,6.7271e+00,1.3985e+05,8.9184e+00,-4.9150e-01,-1.8199e+00,7.9878e-01,2.5630e+00,1.5708e+00,5.0550e+00,6.0588e+00
1.8000e+01,1.0000e+00,4.3062e+00,-1.4312e+05,-1.4313e+05,-4.4944e-02,-1.4313e+05,1.2963e-01,6.7296e+00,1.3965e+05,9.4947e+00,-5.2262e-01,-8.1771e-01,9.9139e-01,1.4285e+00,1.6880e+00,5.2912e+00,6.1574e+00
1.9000e+01,1.0000e+00,4.5346e+00,-1.4311e+05,-1.4312e+05,-4.7441e-02,-1.4312e+05,1.2964e-01,6.7311e+00,1.3958e+05,9.8793e+00,3.8759e-01,-1.4645e+00,2.0102e+00,2.3268e+00,3.2365e+00,4.5623e+00,6.3195e+00
