niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.4888e+05,-1.4889e+05,-1.9980e-03,-1.4889e+05,1.1750e-01,6.9098e+00,inf,4.2714e-01,-9.3266e-01,-1.5484e+00,6.4280e+00,9.5868e+00,2.6791e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.4888e+05,-1.4889e+05,-3.9960e-03,-1.4889e+05,1.0947e-01,5.9984e+00,1.4848e+05,8.6430e-01,-9.9049e-01,-1.1037e+00,6.4902e+00,1.0064e+01,2.5453e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.4788e+05,-1.4788e+05,-5.9940e-03,-1.4788e+05,1.1753e-01,6.9138e+00,1.4848e+05,1.2966e+00,1.5623e-01,-1.4709e+00,6.3847e+00,9.8831e+00,2.5097e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.4745e+05,-1.4746e+05,-7.9920e-03,-1.4746e+05,1.1755e-01,6.9157e+00,1.4747e+05,1.6933e+00,-4.8799e-01,-1.9943e+00,6.3161e+00,9.9237e+00,2.5098e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.4608e+05,-1.4609e+05,-9.9900e-03,-1.4609e+05,1.1757e-01,6.9177e+00,1.4704e+05,2.1420e+00,-9.8831e-01,-1.0994e+00,6.4090e+00,9.8898e+00,2.6272e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.4439e+05,-1.4439e+05,-1.1988e-02,-1.4439e+05,1.1758e-01,6.9197e+00,1.4568e+05,2.6062e+00,5.7580e-02,-1.8167e+00,6.1519e+00,9.5726e+00,2.6902e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4429e+05,-1.4430e+05,-1.3986e-02,-1.4430e+05,1.1760e-01,6.9217e+00,1.4398e+05,3.0507e+00,-7.5154e-01,-1.5560e+00,6.1991e+00,9.9700e+00,2.6223e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4311e+05,-1.4311e+05,-1.5984e-02,-1.4311e+05,1.1762e-01,6.9237e+00,1.4389e+05,3.5064e+00,1.4448e-01,-1.8223e+00,6.4284e+00,9.9581e+00,2.7130e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4225e+05,-1.4226e+05,-1.7982e-02,-1.4226e+05,1.1763e-01,6.9257e+00,1.4270e+05,3.9011e+00,-3.4159e-01,-1.3703e+00,6.0261e+00,9.9488e+00,2.5340e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4202e+05,-1.4203e+05,-1.9980e-02,-1.4203e+05,1.1765e-01,6.9277e+00,1.4185e+05,4.4101e+00,-4.7299e-01,-1.0678e+00,5.9705e+00,9.8116e+00,2.5438e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.4184e+05,-1.4184e+05,-2.1978e-02,-1.4184e+05,1.1767e-01,6.9297e+00,1.4162e+05,4.8274e+00,-2.8787e-01,-1.1107e+00,6.1726e+00,9.6067e+00,2.6785e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.4074e+05,-1.4074e+05,-2.3976e-02,-1.4074e+05,1.1768e-01,6.9317e+00,1.4143e+05,5.2420e+00,1.9604e-02,-1.0264e+00,6.1825e+00,9.5693e+00,2.6777e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.4032e+05,-1.4033e+05,-2.5974e-02,-1.4033e+05,1.1770e-01,6.9337e+00,1.4033e+05,5.6741e+00,-9.5086e-01,-1.5682e+00,5.9171e+00,9.7956e+00,2.6327e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.3805e+05,-1.3806e+05,-2.7972e-02,-1.3806e+05,1.1772e-01,6.9357e+00,1.3992e+05,6.1121e+00,-8.3411e-02,-1.9345e+00,5.7620e+00,1.0102e+01,2.5474e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.3773e+05,-1.3774e+05,-2.9970e-02,-1.3774e+05,1.1774e-01,6.9377e+00,1.3764e+05,6.5457e+00,-2.4251e-01,-1.0352e+00,6.3704e+00,1.0151e+01,2.7770e+01
