logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-4.8084e-01,-1.3977e+00,1.4737e+00,1.7287e+00,2.7871e+00,2.4849e+00,3.5678e+00,-8.9446e+02
1.4138e-01,-1.1089e+00,1.3562e+00,2.4714e+00,6.8134e-01,3.5672e+00,2.9694e+00,-6.3749e+02
-5.5805e-02,-1.5604e+00,1.2923e+00,2.3918e+00,8.5945e-01,2.4054e+00,3.7693e+00,-7.4794e+02
-5.9997e-01,-1.5414e+00,1.4869e+00,1.9637e+00,4.1147e-01,2.8242e+00,3.6688e+00,-7.8062e+02
-7.2664e-01,-1.1771e+00,1.5476e+00,1.3269e+00,2.1083e+00,3.2510e+00,3.4356e+00,-1.0145e+03
-7.4848e-01,-1.0184e+00,1.5030e+00,1.7260e+00,2.6245e+00,2.5590e+00,3.6093e+00,-9.2314e+02
-2.7434e-01,-1.3488e+00,1.4388e+00,2.3241e+00,4.5243e-01,2.0229e+00,3.7415e+00,-5.5694e+02
-3.8937e-01,-1.4170e+00,1.6168e+00,1.8298e+00,1.4879e+00,3.3183e+00,3.4243e+00,-9.6792e+02
-9.2247e-01,-1.1012e+00,1.3187e+00,2.1050e+00,1.0382e+00,2.0498e+00,3.7319e+00,-9.0188e+02
1.0454e-02,-1.2110e+00,1.5047e+00,2.2305e+00,2.0332e+00,3.5486e+00,2.8777e+00,-5.1615e+02
-2.4097e-01,-1.5498e+00,1.6193e+00,2.1042e+00,1.2049e+00,2.4576e+00,3.7400e+00,-1.0130e+03
2.1726e-01,-1.3046e+00,1.5192e+00,1.9505e+00,3.2995e+00,2.5644e+00,2.8937e+00,-7.9258e+02
-8.4151e-01,-1.8438e+00,1.3246e+00,2.0559e+00,1.0849e+00,2.0037e+00,3.7119e+00,-1.0308e+03
3.3955e-02,-1.6895e+00,1.4500e+00,1.3786e+00,3.2555e+00,2.4600e+00,2.9109e+00,-7.3409e+02
-5.6021e-01,-1.8785e+00,1.4809e+00,1.6555e+00,1.2781e+00,3.5078e+00,2.8461e+00,-9.7656e+02
-4.8807e-01,-1.3671e+00,1.5523e+00,2.0766e+00,1.5843e+00,2.3904e+00,3.7137e+00,-7.3319e+02
-4.1915e-01,-1.4473e+00,1.4085e+00,2.0792e+00,1.7381e+00,3.3555e+00,3.2871e+00,-1.0351e+03
-1.0995e-01,-1.3196e+00,1.2299e+00,2.3610e+00,1.9085e+00,3.3871e+00,3.2644e+00,-9.1995e+02
-6.7554e-01,-1.3201e+00,1.4710e+00,1.1126e+00,2.1078e+00,3.5256e+00,2.6713e+00,-9.7240e+02
-1.1778e-01,-1.8318e+00,1.1892e+00,2.4189e+00,9.3556e-01,1.7111e+00,3.7626e+00,-5.9672e+02
-7.6797e-01,-1.5751e+00,1.4478e+00,1.3296e+00,1.3821e+00,3.4400e+00,3.2008e+00,-1.0184e+03
1.4383e-01,-1.7628e+00,1.3705e+00,2.2874e+00,2.7414e+00,3.3810e+00,3.1089e+00,-6.0758e+02
2.1127e-01,-1.0331e+00,1.5703e+00,2.3622e+00,2.6697e+00,3.4231e+00,3.2392e+00,-8.6504e+02
-3.2246e-01,-1.1706e+00,1.5927e+00,1.9935e+00,4.1968e-01,3.5617e+00,2.5465e+00,-1.0184e+03
