logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
7.1429e-03,-1.4196e+00,-5.3994e-01,1.5450e+00,1.5361e+00,3.5176e+00,5.0085e+00,3.0690e+01,-1.7552e+02
5.8990e-02,-1.2810e+00,-4.7683e-01,1.1542e+00,2.0802e+00,4.4233e+00,4.9200e+00,3.0833e+01,-1.8300e+02
1.7776e-01,-1.8325e+00,2.1878e-01,1.9874e+00,1.3449e+00,3.5255e+00,4.9355e+00,3.0468e+01,-1.4601e+02
-8.7469e-03,-1.4125e+00,-2.6289e-01,1.1831e+00,1.9133e+00,3.4063e+00,4.9564e+00,3.0567e+01,-1.0647e+02
2.4975e-02,-1.2597e+00,-1.6645e-01,1.7836e+00,3.0802e+00,4.0682e+00,4.9111e+00,3.0655e+01,-1.0252e+02
-9.0975e-02,-1.3126e+00,-4.8197e-01,6.2483e-01,1.3581e+00,2.9140e+00,5.1119e+00,3.0942e+01,-1.8137e+02
-1.1624e-01,-1.2042e+00,-5.2277e-02,1.4791e+00,2.6910e+00,3.4696e+00,4.9902e+00,3.0705e+01,-1.3535e+02
-2.4855e-01,-1.0768e+00,4.6243e-01,1.0020e+00,1.4253e+00,3.2042e+00,5.0463e+00,3.0829e+01,-7.6881e+01
4.4608e-02,-1.3881e+00,4.5592e-01,8.6717e-01,3.1387e+00,3.5482e+00,4.9801e+00,3.0672e+01,-1.4907e+02
-1.6602e-01,-1.1127e+00,-4.8099e-01,2.1845e+00,1.5429e+00,3.3239e+00,4.9505e+00,3.0580e+01,-1.9894e+02
1.2762e-01,-1.8375e+00,7.6613e-01,9.7420e-01,1.3933e+00,3.6064e+00,4.9861e+00,3.0623e+01,-1.6642e+02
1.3702e-01,-1.9070e+00,1.7921e-01,6.4118e-01,1.4406e+00,3.6693e+00,4.9531e+00,3.0554e+01,-1.4971e+02
7.7706e-02,-1.5500e+00,1.7754e-01,9.3081e-01,2.5191e+00,3.9636e+00,5.0174e+00,3.0796e+01,-1.9436e+02
7.3433e-02,-1.5577e+00,-1.6527e-01,1.8450e+00,2.5336e+00,3.6828e+00,5.0063e+00,3.0712e+01,-1.9227e+02
4.1171e-02,-1.5736e+00,1.7170e-01,1.0579e+00,2.5211e+00,3.2425e+00,5.0652e+00,3.0815e+01,-1.6119e+02
-1.4390e-02,-1.3898e+00,2.9792e-01,7.1246e-01,2.2501e+00,3.6250e+00,5.0387e+00,3.0796e+01,-1.1654e+02
-2.0692e-01,-1.1068e+00,2.7976e-01,4.8365e-01,1.9025e+00,3.4337e+00,5.0299e+00,3.0798e+01,-9.0122e+01
2.8318e-02,-1.4887e+00,1.8395e-01,1.3730e+00,2.8262e+00,3.0602e+00,4.9575e+00,3.0567e+01,-1.8026e+02
-2.6664e-01,-1.0401e+00,6.9974e-01,1.5694e+00,2.8505e+00,2.8254e+00,5.2031e+00,3.1225e+01,-1.8510e+02
5.8101e-02,-1.4034e+00,-2.9980e-02,1.3042e+00,2.6394e+00,4.1197e+00,4.9113e+00,3.0644e+01,-1.9896e+02
-2.5383e-01,-1.0441e+00,-5.8010e-01,9.8606e-01,2.0351e+00,3.6030e+00,5.0048e+00,3.0760e+01,-1.3865e+02
7.9695e-02,-1.5564e+00,-1.3165e-01,2.2805e+00,2.7123e+00,3.1927e+00,5.0835e+00,3.0850e+01,-2.0335e+02
9.4532e-02,-1.6575e+00,1.0742e-01,9.2758e-01,1.8394e+00,3.7437e+00,5.0291e+00,3.0751e+01,-1.6828e+02
4.5645e-02,-1.5467e+00,1.1269e-01,6.6405e-01,2.5211e+00,3.3695e+00,4.9691e+00,3.0589e+01,-1.3563e+02
-6.6524e-02,-1.3092e+00,1.1758e-01,8.5586e-01,2.0574e+00,3.0176e+00,5.0664e+00,3.0820e+01,-1.8707e+02
-1.4968e-01,-1.1769e+00,9.1273e-01,1.1286e+00,2.1919e+00,3.3395e+00,5.1511e+00,3.1072e+01,-1.9431e+02
1.7259e-01,-1.9845e+00,5.2691e-01,1.6745e+00,2.9297e+00,3.3946e+00,5.0085e+00,3.0671e+01,-1.9331e+02
-1.6095e-01,-1.1699e+00,-8.7889e-02,5.2930e-01,2.0901e+00,3.4899e+00,5.1022e+00,3.0969e+01,-1.6720e+02
-1.4746e-02,-1.4320e+00,1.6786e-01,7.6412e-01,1.2881e+00,3.2611e+00,5.0456e+00,3.0769e+01,-1.3018e+02
-6.8302e-02,-1.1674e+00,5.8200e-01,2.2982e+00,2.8055e+00,4.0379e+00,5.0713e+00,3.0983e+01,-1.0684e+02
1.3914e-01,-1.8804e+00,-5.4544e-01,1.3918e+00,1.7942e+00,3.0045e+00,4.9361e+00,3.0440e+01,-1.9707e+02
2.2126e-01,-1.7279e+00,-1.6374e-01,1.2338e+00,3.0838e+00,3.9313e+00,4.9558e+00,3.0629e+01,-1.7341e+02
1.0386e-01,-1.5085e+00,8.9462e-01,1.6626e+00,2.7499e+00,3.8362e+00,4.9534e+00,3.0616e+01,-1.5033e+02
-2.8675e-01,-1.0046e+00,3.7603e-01,1.5648e+00,1.2042e+00,3.9818e+00,5.1386e+00,3.1151e+01,-1.6109e+02
-2.7968e-03,-1.4430e+00,9.4364e-01,5.5309e-01,1.3745e+00,3.1572e+00,5.0875e+00,3.0862e+01,-1.5688e+02
-4.5770e-02,-1.1009e+00,5.1750e-01,1.8267e+00,1.6603e+00,4.3559e+00,4.8663e+00,3.0706e+01,-1.0871e+02
