logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.3725e-01,-1.5515e+00,-2.1676e+00,6.7507e-01,4.1399e-01,1.8051e+00,2.4832e+00,2.6761e+01,-5.6931e+03
-6.6296e-01,-1.6645e+00,-3.1736e-01,-1.0175e+00,-5.0183e-01,1.4478e+00,2.2859e+00,2.6025e+01,-5.5211e+03
-2.2765e-01,-1.5377e+00,-1.3577e+00,3.6834e-01,-6.4595e-01,2.2100e+00,9.7147e-01,2.6096e+01,-4.8279e+03
-4.9815e-01,-1.5870e+00,-7.2814e-01,2.1729e-02,6.6826e-01,1.6220e+00,2.1482e+00,2.5912e+01,-4.6448e+03
-8.6819e-01,-1.5781e+00,-1.2255e-01,-2.4004e-01,-1.5481e-01,2.7223e-01,2.5640e+00,2.6627e+01,-5.3538e+03
-4.9365e-01,-1.4855e+00,-2.6595e-01,-1.9486e+00,1.0974e+00,1.4314e+00,2.2398e+00,2.6029e+01,-5.5878e+03
-7.7102e-01,-1.4332e+00,-3.0869e-01,-1.6090e-01,6.8357e-01,1.4260e-01,2.3446e+00,2.6055e+01,-5.4945e+03
-8.4034e-01,-1.0072e+00,-2.9588e+00,8.4711e-01,7.2964e-01,1.5540e+00,2.4186e+00,2.6495e+01,-5.1646e+03
-8.9816e-01,-1.1133e+00,-1.6684e+00,5.3375e-01,9.7329e-01,5.9428e-01,2.3974e+00,2.6300e+01,-5.5576e+03
-7.3417e-01,-1.2224e+00,-4.5721e-01,-7.1066e-01,9.0438e-02,1.8713e+00,2.1078e+00,2.6072e+01,-5.4119e+03
-8.6947e-02,-1.7313e+00,-1.8487e+00,2.8581e-01,-8.5153e-01,2.1397e+00,6.8644e-01,2.5791e+01,-5.3731e+03
-8.4379e-01,-1.3642e+00,-4.8857e-01,-6.0494e-01,6.6447e-01,1.5575e+00,2.4113e+00,2.6444e+01,-5.6911e+03
-1.3892e-01,-1.6275e+00,-1.5236e+00,-4.3655e-02,-2.0015e-01,1.9387e+00,8.5216e-01,2.5293e+01,-5.5395e+03
-5.1177e-01,-1.1184e+00,-2.6811e-01,-1.2353e+00,-1.0552e+00,1.9831e+00,1.2415e+00,2.5510e+01,-5.4976e+03
-5.6676e-01,-1.4638e+00,-2.5752e+00,4.5644e-01,6.6782e-01,1.4699e+00,2.2846e+00,2.6164e+01,-5.5943e+03
-4.9218e-01,-1.5795e+00,-8.9942e-01,-1.2585e-01,1.2843e+00,1.4942e+00,2.2535e+00,2.6242e+01,-5.3538e+03
-7.4006e-01,-1.6411e+00,-1.9056e+00,4.0871e-01,-1.4894e+00,8.4148e-01,2.4342e+00,2.6337e+01,-5.1569e+03
-6.7589e-01,-1.3758e+00,-2.5265e+00,2.7306e-01,2.5988e-01,1.6539e+00,2.2372e+00,2.6126e+01,-5.4327e+03
-6.5827e-01,-1.3566e+00,-4.1898e-01,2.1730e-01,-7.2115e-01,1.5370e+00,2.2384e+00,2.5977e+01,-5.3658e+03
-2.3136e-01,-1.8597e+00,-8.7648e-01,-9.8451e-01,-1.2751e+00,2.0222e+00,9.1498e-01,2.5551e+01,-5.4907e+03
-7.1262e-01,-1.3161e+00,-9.9174e-02,4.0521e-01,5.6116e-01,-2.8164e-01,2.5129e+00,2.6500e+01,-5.4776e+03
-2.0150e-01,-1.7867e+00,-9.9861e-01,-4.2668e-01,-9.1006e-02,2.0163e+00,1.2228e+00,2.5586e+01,-5.3017e+03
-5.5804e-01,-1.6484e+00,-5.1994e-01,-1.5642e-01,-7.1242e-01,1.6741e+00,2.0708e+00,2.5747e+01,-5.4126e+03
-2.7917e-01,-1.4164e+00,-1.6337e+00,2.9678e-02,-6.5912e-01,2.0139e+00,1.1095e+00,2.5506e+01,-5.3760e+03
-6.5446e-01,-1.8994e+00,-5.1572e-01,8.5224e-03,7.9820e-01,1.4005e+00,2.3761e+00,2.6371e+01,-5.2197e+03
-6.2363e-01,-1.8958e+00,-2.1166e+00,5.1729e-01,-1.1997e-02,7.5126e-01,2.4141e+00,2.6277e+01,-4.8416e+03
-5.6464e-01,-1.1155e+00,-2.5642e-01,-1.6800e+00,-8.8139e-01,2.1663e+00,-7.8585e-02,2.5910e+01,-5.5586e+03
-3.0751e-01,-1.5252e+00,-3.2240e-01,-1.6328e+00,-1.3158e+00,2.0616e+00,1.4603e+00,2.5748e+01,-5.1662e+03
