logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-3.4086e-01,-1.4482e+00,-2.7549e+00,5.1316e-01,-3.7115e-01,2.2702e+00,1.7341e+00,2.6471e+01,-5.9433e+03
-6.9634e-01,-1.9522e+00,1.0372e-02,-1.9994e+00,-4.1783e-01,6.2142e-01,2.4973e+00,2.6436e+01,-5.8782e+03
-6.7249e-01,-1.9360e+00,-9.1868e-01,7.1122e-01,3.9533e-01,1.9944e-01,2.6492e+00,2.6957e+01,-5.7433e+03
-4.9815e-01,-1.5870e+00,-7.2814e-01,2.1729e-02,6.6826e-01,1.6220e+00,2.1482e+00,2.5912e+01,-4.6448e+03
-8.6819e-01,-1.5781e+00,-1.2255e-01,-2.4004e-01,-1.5481e-01,2.7223e-01,2.5640e+00,2.6627e+01,-5.3538e+03
-6.7974e-01,-8.5471e-01,-2.4141e+00,8.5645e-01,4.7995e-01,2.2885e+00,1.3787e+00,2.6430e+01,-6.0459e+03
-7.7102e-01,-1.4332e+00,-3.0869e-01,-1.6090e-01,6.8357e-01,1.4260e-01,2.3446e+00,2.6055e+01,-5.4945e+03
-8.4034e-01,-1.0072e+00,-2.9588e+00,8.4711e-01,7.2964e-01,1.5540e+00,2.4186e+00,2.6495e+01,-5.1646e+03
-8.9816e-01,-1.1133e+00,-1.6684e+00,5.3375e-01,9.7329e-01,5.9428e-01,2.3974e+00,2.6300e+01,-5.5576e+03
-7.3417e-01,-1.2224e+00,-4.5721e-01,-7.1066e-01,9.0438e-02,1.8713e+00,2.1078e+00,2.6072e+01,-5.4119e+03
-8.4294e-01,-1.3745e+00,-1.3301e+00,2.2650e-01,9.4875e-01,8.8743e-01,2.5022e+00,2.6554e+01,-6.0274e+03
-8.4379e-01,-1.3642e+00,-4.8857e-01,-6.0494e-01,6.6447e-01,1.5575e+00,2.4113e+00,2.6444e+01,-5.6911e+03
-1.3892e-01,-1.6275e+00,-1.5236e+00,-4.3655e-02,-2.0015e-01,1.9387e+00,8.5216e-01,2.5293e+01,-5.5395e+03
-5.1177e-01,-1.1184e+00,-2.6811e-01,-1.2353e+00,-1.0552e+00,1.9831e+00,1.2415e+00,2.5510e+01,-5.4976e+03
-4.4167e-01,-1.6001e+00,-1.1294e+00,7.4781e-01,-9.1260e-01,2.1148e+00,2.3237e+00,2.6739e+01,-5.6952e+03
-4.9218e-01,-1.5795e+00,-8.9942e-01,-1.2585e-01,1.2843e+00,1.4942e+00,2.2535e+00,2.6242e+01,-5.3538e+03
-7.4006e-01,-1.6411e+00,-1.9056e+00,4.0871e-01,-1.4894e+00,8.4148e-01,2.4342e+00,2.6337e+01,-5.1569e+03
4.7957e-02,-1.8392e+00,-2.5791e+00,1.7584e-01,1.2536e+00,2.1416e+00,8.8785e-01,2.6039e+01,-5.7347e+03
-5.6691e-01,-1.4344e+00,-2.1166e+00,2.2155e-01,1.1258e+00,2.4156e-01,2.3429e+00,2.6131e+01,-5.7257e+03
-2.3136e-01,-1.8597e+00,-8.7648e-01,-9.8451e-01,-1.2751e+00,2.0222e+00,9.1498e-01,2.5551e+01,-5.4907e+03
-7.1262e-01,-1.3161e+00,-9.9174e-02,4.0521e-01,5.6116e-01,-2.8164e-01,2.5129e+00,2.6500e+01,-5.4776e+03
-8.8997e-01,-1.6059e+00,-3.9712e-01,-1.5099e+00,-8.3543e-01,-4.6674e-01,2.4361e+00,2.6245e+01,-5.7388e+03
-5.5804e-01,-1.6484e+00,-5.1994e-01,-1.5642e-01,-7.1242e-01,1.6741e+00,2.0708e+00,2.5747e+01,-5.4126e+03
-8.6773e-01,-1.8304e+00,-1.1645e-01,-1.2285e+00,-2.1245e-01,7.7448e-01,2.5965e+00,2.6780e+01,-5.7505e+03
-6.1240e-01,-1.5977e+00,-3.4399e-01,-1.0983e+00,7.9139e-01,1.5495e+00,2.1667e+00,2.5939e+01,-5.9041e+03
-3.0059e-01,-1.6657e+00,-2.2101e-01,-1.1477e+00,-1.6378e-01,1.9619e+00,1.5831e+00,2.5647e+01,-5.7611e+03
-5.6464e-01,-1.1155e+00,-2.5642e-01,-1.6800e+00,-8.8139e-01,2.1663e+00,-7.8585e-02,2.5910e+01,-5.5586e+03
-2.4356e-01,-1.3480e+00,-5.6707e-01,-3.2919e-01,-8.4173e-01,2.0598e+00,9.6136e-01,2.5598e+01,-5.8440e+03
-7.9963e-01,-1.5723e+00,-8.4729e-01,-4.7288e-02,-8.1493e-01,1.3844e+00,2.3445e+00,2.6171e+01,-5.8690e+03
-1.0937e-01,-1.8683e+00,-2.1024e+00,5.3941e-01,4.2534e-01,2.2767e+00,9.3292e-01,2.6274e+01,-5.3849e+03
-6.6501e-01,-1.8892e+00,-2.2290e+00,-2.1068e-03,7.4476e-01,1.7564e-01,2.3223e+00,2.6011e+01,-5.7472e+03
-8.1640e-01,-1.8015e+00,-4.4579e-01,-4.5413e-01,-1.3437e-01,7.8232e-01,2.4867e+00,2.6426e+01,-5.8616e+03
