logfeh_mean,logdust,logNpix,logage,dmod,logl
1.8914e-01,-1.9415e+00,4.3765e+00,1.0053e+01,3.0268e+01,-3.9935e+01
3.4960e-01,-1.7791e+00,4.2804e+00,9.9699e+00,3.0133e+01,-3.9592e+01
1.8792e-01,-1.9034e+00,4.4119e+00,1.0033e+01,3.0355e+01,-3.7281e+01
1.5019e-01,-1.5120e+00,4.3790e+00,1.0024e+01,3.0354e+01,-3.9992e+01
2.7084e-01,-1.9808e+00,4.3273e+00,1.0004e+01,3.0202e+01,-3.8681e+01
3.9444e-01,-1.9330e+00,4.2629e+00,9.9605e+00,3.0082e+01,-3.6774e+01
1.0126e-01,-1.9631e+00,4.4398e+00,1.0120e+01,3.0390e+01,-3.2445e+01
2.2686e-01,-1.6959e+00,4.3501e+00,1.0017e+01,3.0261e+01,-3.8854e+01
1.6342e-01,-1.7709e+00,4.4107e+00,1.0036e+01,3.0358e+01,-3.4024e+01
2.0907e-01,-1.4179e+00,4.3461e+00,9.9665e+00,3.0327e+01,-3.9927e+01
3.5158e-01,-1.7817e+00,4.2931e+00,9.9693e+00,3.0164e+01,-4.0080e+01
2.6349e-01,-1.8880e+00,4.3241e+00,9.9790e+00,3.0193e+01,-3.2884e+01
1.0286e-01,-1.9692e+00,4.4276e+00,1.0117e+01,3.0359e+01,-3.9897e+01
1.9200e-01,-1.6034e+00,4.3576e+00,9.9999e+00,3.0289e+01,-3.9014e+01
2.1091e-01,-1.6633e+00,4.3636e+00,1.0009e+01,3.0302e+01,-3.8457e+01
1.6573e-01,-1.5667e+00,4.3734e+00,1.0009e+01,3.0339e+01,-3.9383e+01
1.4217e-01,-1.3249e+00,4.3580e+00,9.9562e+00,3.0378e+01,-3.8919e+01
2.7200e-01,-1.9836e+00,4.3533e+00,1.0015e+01,3.0266e+01,-4.0734e+01
6.6291e-02,-1.7945e+00,4.4702e+00,1.0083e+01,3.0478e+01,-4.1242e+01
2.0414e-01,-1.6484e+00,4.3644e+00,1.0014e+01,3.0304e+01,-3.2864e+01
2.2549e-01,-1.6910e+00,4.3572e+00,1.0019e+01,3.0279e+01,-4.0164e+01
2.4308e-01,-1.4879e+00,4.3080e+00,9.9640e+00,3.0226e+01,-3.9021e+01
2.3711e-01,-1.7893e+00,4.3611e+00,9.9893e+00,3.0292e+01,-3.8341e+01
1.6958e-01,-1.8690e+00,4.4098e+00,1.0048e+01,3.0358e+01,-4.0837e+01
2.9257e-01,-1.5829e+00,4.3074e+00,9.9575e+00,3.0213e+01,-3.3145e+01
1.5545e-01,-1.7786e+00,4.3864e+00,1.0050e+01,3.0302e+01,-3.8893e+01
1.8841e-01,-1.9253e+00,4.4094e+00,1.0071e+01,3.0351e+01,-3.4329e+01
8.8124e-02,-1.8905e+00,4.4432e+00,1.0120e+01,3.0403e+01,-3.5741e+01
1.9139e-01,-1.9081e+00,4.4120e+00,1.0044e+01,3.0354e+01,-4.1487e+01
5.9090e-02,-1.7459e+00,4.4623e+00,1.0084e+01,3.0460e+01,-3.5530e+01
1.1769e-01,-1.6148e+00,4.4099e+00,1.0060e+01,3.0368e+01,-3.9700e+01
4.1498e-01,-1.9778e+00,4.2761e+00,9.9602e+00,3.0109e+01,-4.0592e+01
2.0145e-01,-1.6703e+00,4.3604e+00,1.0015e+01,3.0299e+01,-3.8754e+01
3.9984e-01,-1.8944e+00,4.2631e+00,9.9504e+00,3.0077e+01,-3.6271e+01
1.5608e-01,-1.7863e+00,4.4252e+00,1.0046e+01,3.0399e+01,-3.6426e+01
1.5016e-01,-1.7439e+00,4.3983e+00,1.0054e+01,3.0333e+01,-4.1238e+01
1.1761e-01,-1.6304e+00,4.4058e+00,1.0052e+01,3.0359e+01,-4.1678e+01
2.6268e-01,-1.8355e+00,4.3307e+00,1.0011e+01,3.0206e+01,-4.1404e+01
2.8912e-01,-1.5766e+00,4.3161e+00,9.9555e+00,3.0237e+01,-3.7164e+01
2.8293e-01,-1.9715e+00,4.3303e+00,9.9773e+00,3.0203e+01,-3.2619e+01
3.4451e-01,-1.7380e+00,4.2771e+00,9.9707e+00,3.0124e+01,-3.5790e+01
2.9457e-01,-1.5819e+00,4.3041e+00,9.9546e+00,3.0205e+01,-3.9206e+01
9.1242e-02,-1.5550e+00,4.4243e+00,1.0038e+01,3.0413e+01,-3.7035e+01
2.1614e-01,-1.6910e+00,4.3487e+00,9.9986e+00,3.0264e+01,-3.1965e+01
2.7456e-01,-1.9787e+00,4.3361e+00,1.0006e+01,3.0220e+01,-3.7822e+01
2.4349e-01,-1.7757e+00,4.3471e+00,1.0022e+01,3.0252e+01,-3.4955e+01
1.0260e-01,-1.9842e+00,4.4366e+00,1.0116e+01,3.0383e+01,-3.2926e+01
2.4904e-01,-1.7897e+00,4.3571e+00,1.0018e+01,3.0275e+01,-3.2032e+01
1.7436e-01,-1.5563e+00,4.3722e+00,9.9820e+00,3.0328e+01,-3.4852e+01
2.7784e-01,-1.9520e+00,4.3274e+00,9.9789e+00,3.0196e+01,-3.1170e+01
2.6847e-01,-1.5181e+00,4.3221e+00,9.9266e+00,3.0252e+01,-4.1480e+01
2.0034e-01,-1.6120e+00,4.3780e+00,9.9948e+00,3.0335e+01,-4.1821e+01
2.0350e-01,-1.9736e+00,4.3835e+00,1.0055e+01,3.0278e+01,-3.8427e+01
3.3777e-01,-1.7474e+00,4.3041e+00,9.9255e+00,3.0197e+01,-3.7075e+01
3.7585e-01,-1.8110e+00,4.2785e+00,9.9404e+00,3.0119e+01,-3.7764e+01
6.1763e-02,-1.7474e+00,4.4527e+00,1.0103e+01,3.0434e+01,-3.9415e+01
1.5068e-01,-1.5039e+00,4.3865e+00,1.0011e+01,3.0370e+01,-3.7507e+01
1.5240e-01,-1.7469e+00,4.4192e+00,1.0030e+01,3.0383e+01,-3.5253e+01
1.9502e-01,-1.6444e+00,4.3527e+00,9.9795e+00,3.0279e+01,-4.1318e+01
1.5831e-01,-1.8027e+00,4.4203e+00,1.0035e+01,3.0386e+01,-3.4458e+01
3.7526e-01,-1.8240e+00,4.2769e+00,9.9704e+00,3.0117e+01,-3.8380e+01
9.3694e-02,-1.9400e+00,4.4305e+00,1.0112e+01,3.0371e+01,-3.7747e+01
2.8550e-01,-1.9468e+00,4.3466e+00,9.9910e+00,3.0242e+01,-4.1317e+01
2.3293e-01,-1.7128e+00,4.3529e+00,9.9906e+00,3.0265e+01,-3.8657e+01
2.6344e-01,-1.9062e+00,4.3451e+00,9.9929e+00,3.0245e+01,-3.9470e+01
2.6720e-01,-1.9008e+00,4.3406e+00,1.0012e+01,3.0233e+01,-3.7712e+01
2.7458e-01,-1.9738e+00,4.3456e+00,9.9911e+00,3.0245e+01,-3.6290e+01
8.6324e-02,-1.9076e+00,4.4413e+00,1.0088e+01,3.0400e+01,-3.8151e+01
2.2508e-01,-1.7128e+00,4.3406e+00,1.0025e+01,3.0239e+01,-3.1963e+01
4.5999e-01,-1.6086e+00,4.2394e+00,9.8903e+00,3.0057e+01,-4.1376e+01
2.8769e-01,-1.9696e+00,4.3510e+00,9.9980e+00,3.0252e+01,-3.8581e+01
8.9097e-02,-1.5384e+00,4.4195e+00,1.0041e+01,3.0401e+01,-4.0859e+01
3.6266e-01,-1.7864e+00,4.2803e+00,9.9289e+00,3.0128e+01,-3.9457e+01
3.7997e-01,-1.8187e+00,4.2690e+00,9.9451e+00,3.0096e+01,-4.1624e+01
1.4316e-01,-1.7147e+00,4.4233e+00,1.0039e+01,3.0395e+01,-3.6562e+01
7.7078e-02,-1.8276e+00,4.4473e+00,1.0076e+01,3.0415e+01,-3.8782e+01
2.3231e-01,-1.4636e+00,4.3356e+00,9.9456e+00,3.0297e+01,-4.0990e+01
1.3361e-01,-1.6926e+00,4.3939e+00,1.0034e+01,3.0327e+01,-3.9446e+01
2.6942e-01,-1.9010e+00,4.3309e+00,1.0005e+01,3.0206e+01,-3.1109e+01
1.3922e-01,-1.4851e+00,4.3742e+00,1.0023e+01,3.0343e+01,-4.1839e+01
2.7725e-01,-1.9821e+00,4.3446e+00,1.0023e+01,3.0242e+01,-3.5418e+01
1.0752e-01,-1.9665e+00,4.4391e+00,1.0094e+01,3.0385e+01,-3.4783e+01
1.6359e-01,-1.7807e+00,4.4177e+00,1.0051e+01,3.0376e+01,-4.1433e+01
1.3713e-01,-1.6916e+00,4.4332e+00,1.0074e+01,3.0423e+01,-3.9875e+01
3.6584e-01,-1.8133e+00,4.2756e+00,9.9512e+00,3.0118e+01,-3.5503e+01
1.0441e-01,-1.9566e+00,4.4454e+00,1.0121e+01,3.0401e+01,-3.8920e+01
2.6062e-01,-1.8705e+00,4.3409e+00,1.0014e+01,3.0233e+01,-4.1367e+01
1.9169e-01,-1.6083e+00,4.3895e+00,9.9962e+00,3.0369e+01,-4.0585e+01
