logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.6688e-01,-1.2128e+00,-5.2973e-01,2.1722e+00,1.9294e+00,3.1579e+00,3.9065e+00,3.0092e+01,-1.6776e+03
-5.6731e-01,-1.0951e+00,1.2238e+00,4.0694e-02,9.0080e-01,3.5253e+00,3.8993e+00,3.0228e+01,-1.2562e+03
-3.5729e-01,-6.6518e-01,1.0928e+00,1.7654e+00,2.1672e+00,3.7824e+00,2.9132e+00,2.9953e+01,-9.4122e+02
2.0890e-02,-1.2722e+00,3.4265e-01,2.0908e+00,1.3336e+00,2.2230e+00,3.7649e+00,2.9336e+01,-5.6228e+02
1.6550e-01,-1.5186e+00,4.8078e-01,8.2145e-01,3.4331e+00,3.4406e+00,2.9128e+00,3.0270e+01,-2.0103e+03
-5.2021e-01,-1.6998e+00,1.5362e+00,9.3609e-01,2.4351e+00,2.1717e+00,4.3220e+00,3.0831e+01,-1.9077e+03
2.2057e-01,-1.9160e+00,1.1823e+00,1.0293e+00,8.2560e-01,3.6564e+00,3.1508e+00,2.9608e+01,-1.3821e+03
4.4131e-01,-1.1250e+00,1.4733e+00,2.0381e+00,1.1706e+00,3.9592e+00,2.9505e+00,3.0182e+01,-1.3506e+03
2.7782e-01,-1.3472e+00,1.2083e+00,7.9289e-02,2.9837e+00,3.1605e+00,3.4214e+00,2.9583e+01,-1.6191e+03
-4.3282e-01,-1.2025e+00,1.0517e+00,7.1076e-01,2.7089e+00,2.4252e+00,3.9342e+00,3.0009e+01,-1.4203e+03
-6.3212e-02,-1.7325e+00,1.3803e+00,7.7087e-01,3.4104e+00,2.7650e+00,3.9980e+00,3.0656e+01,-1.1733e+03
-6.9568e-01,-1.6283e+00,4.8404e-01,7.4656e-01,8.6413e-01,2.4769e+00,3.7599e+00,2.9462e+01,-1.5174e+03
-4.5801e-01,-1.3270e+00,1.0977e+00,5.8650e-01,2.9322e+00,1.7642e+00,4.1330e+00,3.0481e+01,-1.9865e+03
-5.4420e-01,-1.9028e+00,1.3915e+00,1.2160e+00,2.5060e+00,2.1505e+00,4.1493e+00,3.0463e+01,-1.6528e+03
-2.9084e-01,-1.3295e+00,8.7806e-01,1.6866e+00,2.8377e+00,3.9333e+00,3.2147e+00,3.0550e+01,-2.1932e+03
2.1972e-02,-1.0181e+00,1.5439e+00,1.4394e+00,1.4309e+00,4.0291e+00,1.9822e+00,3.0389e+01,-1.3135e+03
-6.9594e-01,-7.0236e-01,-9.6079e-01,1.5649e+00,1.6906e+00,3.4198e+00,3.5614e+00,2.9627e+01,-1.5338e+03
4.9041e-01,-1.4562e+00,2.3293e-01,1.6653e+00,2.9442e+00,3.3392e+00,1.9737e+00,2.9284e+01,-1.6304e+03
1.4690e-01,-1.0767e+00,9.2405e-01,1.4303e+00,1.0746e+00,3.4849e+00,2.1763e+00,2.8985e+01,-1.2925e+03
-4.8362e-01,-8.9392e-01,1.6253e-01,1.8143e+00,2.9923e+00,3.2772e+00,3.5652e+00,2.9970e+01,-2.1433e+03
-1.7021e-01,-9.5907e-01,1.4081e+00,-2.1210e-02,2.0521e+00,3.6960e+00,3.0376e+00,2.9744e+01,-2.1850e+03
-2.8169e-01,-6.5449e-01,1.6072e+00,1.1686e+00,1.9000e+00,3.7095e+00,3.5480e+00,2.9999e+01,-1.6615e+03
2.5492e-01,-6.3986e-01,1.7243e-02,2.7974e+00,2.8049e+00,2.4033e+00,4.1181e+00,3.0345e+01,-1.4328e+03
-5.9115e-01,-1.0359e+00,1.6076e+00,-2.6050e-02,1.1392e+00,3.7403e+00,4.2836e+00,3.1070e+01,-2.1865e+03
-4.6059e-01,-1.8253e+00,1.0190e+00,1.2898e+00,1.7825e+00,2.2888e+00,3.9420e+00,2.9836e+01,-1.3003e+03
-1.2137e-01,-1.3257e+00,3.6784e-01,1.5987e+00,1.1253e+00,2.9581e+00,3.3851e+00,2.8824e+01,-1.5562e+03
-9.5768e-01,-1.0021e+00,1.1281e+00,1.7481e-01,2.4460e+00,1.8478e+00,4.0126e+00,3.0145e+01,-1.9028e+03
-3.9279e-01,-8.4376e-01,6.2457e-01,1.6908e+00,1.7545e+00,2.4607e+00,3.6268e+00,2.9094e+01,-1.6440e+03
-2.5268e-01,-7.7242e-01,1.7484e+00,2.6636e-01,2.2022e+00,4.1803e+00,2.4100e+00,3.0828e+01,-1.6911e+03
2.8943e-01,-6.9832e-01,1.5121e+00,2.3005e+00,8.5925e-01,4.0454e+00,2.7643e+00,3.0343e+01,-1.7793e+03
-1.6483e-01,-9.7524e-01,1.1709e+00,7.6118e-01,2.2163e+00,3.5354e+00,2.7500e+00,2.9353e+01,-2.1063e+03
