logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.3836e-01,-9.3465e-01,-5.5772e-01,5.1118e-01,2.2767e+00,3.0678e+00,2.8419e+00,2.4173e+01,-1.8805e+03
4.0881e-01,-1.3019e+00,-9.2292e-01,8.7736e-02,2.1187e+00,2.7782e+00,3.1229e+00,2.3956e+01,-1.3520e+03
-2.4588e-02,-1.0464e+00,-3.9420e-01,8.5514e-01,2.0802e+00,2.6010e+00,3.4965e+00,2.4655e+01,-2.2716e+03
2.5875e-01,-1.6619e+00,-1.1825e+00,1.4611e-01,1.8083e+00,2.1774e+00,3.3631e+00,2.4090e+01,-1.5395e+03
3.4039e-01,-1.0826e+00,-6.4106e-01,-1.6364e-01,2.2119e+00,2.9642e+00,2.9478e+00,2.4043e+01,-1.3490e+03
1.1463e-01,-1.3562e+00,-1.1775e+00,5.0314e-01,1.9772e+00,2.4083e+00,3.5245e+00,2.4596e+01,-2.0932e+03
3.8869e-01,-1.1770e+00,-1.0340e+00,7.0024e-02,1.8486e+00,3.0851e+00,2.7001e+00,2.3932e+01,-2.3109e+03
3.6318e-01,-1.0871e+00,-1.1027e+00,-4.3874e-02,1.9809e+00,3.0484e+00,2.6696e+00,2.3895e+01,-2.4071e+03
3.7603e-01,-1.5894e+00,-6.9180e-01,-1.6804e-01,1.9440e+00,2.8949e+00,3.2268e+00,2.4206e+01,-1.4605e+03
3.0383e-01,-1.3484e+00,-6.9323e-01,9.9101e-02,1.5054e+00,3.0005e+00,3.0638e+00,2.4087e+01,-2.2313e+03
2.2668e-01,-9.9365e-01,-6.6639e-01,8.0795e-01,2.2351e+00,3.0310e+00,3.1431e+00,2.4327e+01,-2.3101e+03
2.2285e-01,-1.5890e+00,-9.8712e-01,-2.2406e-01,1.7558e+00,2.3577e+00,3.3268e+00,2.4052e+01,-1.7233e+03
2.4564e-01,-1.8233e+00,-6.7806e-01,-3.2773e-02,1.6132e+00,2.5767e+00,3.3954e+00,2.4290e+01,-1.6134e+03
