niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.5571e+05,-1.5572e+05,-1.9980e-03,-1.5572e+05,1.1750e-01,6.9098e+00,inf,1.5235e+00,-9.6883e-01,-1.1163e+00,-8.8161e-01,8.5280e-02,1.0525e+00,1.9353e+00,4.6326e+00,2.3039e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.5533e+05,-1.5534e+05,-3.9960e-03,-1.5534e+05,1.1751e-01,6.9118e+00,1.4533e+05,3.0459e+00,-4.9898e-02,-1.1674e+00,-9.1589e-01,1.2261e-01,9.4129e-01,1.4659e+00,4.6544e+00,2.3212e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.5532e+05,-1.5533e+05,-5.9940e-03,-1.5533e+05,1.1753e-01,6.9136e+00,1.4495e+05,4.5746e+00,-6.6177e-01,-1.4777e+00,-1.8391e+00,4.6218e-01,1.5334e+00,2.5497e+00,4.6652e+00,2.3536e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.5504e+05,-1.5505e+05,-7.9920e-03,-1.5505e+05,1.1755e-01,6.9157e+00,1.4494e+05,6.3054e+00,2.3022e-01,-1.3895e+00,-7.3238e-01,3.4384e-01,8.7000e-01,1.7871e+00,4.6381e+00,2.3288e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.5499e+05,-1.5500e+05,-9.9900e-03,-1.5500e+05,1.1757e-01,6.9177e+00,1.4466e+05,7.8300e+00,-5.1180e-01,-1.1843e+00,-8.8491e-02,8.7614e-01,-3.6692e-02,1.6525e+00,4.6371e+00,2.3433e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.5493e+05,-1.5494e+05,-1.1988e-02,-1.5494e+05,1.1758e-01,6.9197e+00,1.4461e+05,9.5566e+00,-7.8735e-01,-1.2816e+00,-2.9618e-01,-7.0647e-01,1.7135e+00,2.9240e+00,4.5095e+00,2.3113e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.5489e+05,-1.5490e+05,-1.3986e-02,-1.5490e+05,1.1760e-01,6.9217e+00,1.4455e+05,1.1080e+01,-8.2816e-01,-1.3043e+00,-8.9478e-01,-2.8950e-01,1.2815e+00,3.0861e+00,4.5155e+00,2.3322e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.5472e+05,-1.5473e+05,-1.5984e-02,-1.5473e+05,1.1762e-01,6.9237e+00,1.4451e+05,1.2403e+01,-3.3065e-01,-1.5552e+00,-1.9916e+00,2.4688e-01,1.6949e+00,3.3508e+00,4.5362e+00,2.3554e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.5465e+05,-1.5465e+05,-1.7982e-02,-1.5465e+05,1.1763e-01,6.9257e+00,1.4434e+05,1.3742e+01,2.1138e-01,-1.2507e+00,-1.7031e-01,-7.8827e-01,1.4340e+00,2.8784e+00,4.5991e+00,2.3344e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.5464e+05,-1.5465e+05,-1.9980e-02,-1.5465e+05,1.1741e-01,6.8994e+00,1.4427e+05,1.5208e+01,2.4298e-01,-1.4329e+00,-3.1266e-01,-7.8275e-01,1.0318e-01,2.0768e+00,4.5856e+00,2.3311e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.5462e+05,-1.5462e+05,-2.1978e-02,-1.5462e+05,1.1767e-01,6.9297e+00,1.4426e+05,1.6741e+01,1.2902e-01,-1.2541e+00,-1.3389e+00,-9.4641e-01,1.0878e+00,2.9679e+00,4.5294e+00,2.3328e+01
