logfeh,logdust,logNpix,logage,dmod,logl
-3.1911e-01,-8.0746e-01,3.7356e+00,9.6949e+00,3.0186e+01,-1.8900e+02
-3.2928e-01,-1.1573e+00,3.7327e+00,1.0097e+01,2.9630e+01,-2.5756e+02
-3.1998e-01,-1.3446e+00,4.6124e+00,9.9975e+00,3.2051e+01,-2.3803e+02
-8.6578e-01,-7.4839e-01,4.3308e+00,9.8566e+00,3.1586e+01,-2.4437e+02
1.8025e-01,-1.7340e+00,4.5337e+00,9.6866e+00,3.2108e+01,-2.6578e+02
-1.7089e-01,-1.9245e+00,4.0694e+00,9.9882e+00,3.0712e+01,-2.6477e+02
-1.5528e-01,-1.4869e+00,3.9114e+00,9.8966e+00,3.0383e+01,-1.9417e+02
1.1801e-01,-1.7694e+00,3.6784e+00,9.5814e+00,3.0242e+01,-2.4533e+02
-2.1280e-01,-8.2323e-01,4.6040e+00,9.6178e+00,3.2534e+01,-2.6077e+02
-6.9374e-02,-1.8415e+00,4.1127e+00,9.8856e+00,3.0859e+01,-2.3296e+02
-2.4600e-01,-9.6194e-01,4.0198e+00,9.7032e+00,3.0996e+01,-2.2988e+02
-2.8766e-01,-9.6242e-01,4.5709e+00,9.6821e+00,3.2341e+01,-2.5444e+02
-2.1497e-01,-1.5142e+00,4.0031e+00,9.9768e+00,3.0503e+01,-1.8347e+02
-4.1420e-01,-1.2096e+00,4.1500e+00,9.9488e+00,3.0986e+01,-2.1960e+02
2.0351e-01,-1.8610e+00,3.5595e+00,9.8183e+00,2.9474e+01,-2.0939e+02
-9.3122e-01,-7.2845e-01,4.5833e+00,9.9704e+00,3.2016e+01,-2.3728e+02
-8.4050e-02,-1.8460e+00,4.0239e+00,9.9034e+00,3.0712e+01,-2.4359e+02
3.6321e-01,-1.5344e+00,3.1967e+00,9.5713e+00,2.8874e+01,-2.2165e+02
-2.5927e-01,-1.9343e+00,3.8232e+00,9.9497e+00,3.0209e+01,-2.5030e+02
-6.5277e-01,-1.0067e+00,4.0530e+00,1.0095e+01,3.0562e+01,-2.0418e+02
-4.5004e-01,-6.9164e-01,3.4523e+00,9.6422e+00,2.9564e+01,-2.3697e+02
-2.7634e-01,-1.4844e+00,3.9986e+00,9.9449e+00,3.0600e+01,-1.9082e+02
-9.3109e-02,-1.0097e+00,3.9879e+00,9.6691e+00,3.0904e+01,-1.8745e+02
-1.4162e-01,-1.1869e+00,4.0979e+00,9.8148e+00,3.0953e+01,-2.3654e+02
1.2115e-01,-1.8532e+00,4.2394e+00,9.8168e+00,3.1288e+01,-2.4856e+02
2.6537e-01,-1.1283e+00,4.0161e+00,9.5198e+00,3.1041e+01,-2.2196e+02
2.1243e-02,-1.5011e+00,3.5062e+00,9.8542e+00,2.9424e+01,-2.2127e+02
-3.8745e-02,-1.4090e+00,3.8733e+00,9.7279e+00,3.0522e+01,-2.2715e+02
4.2738e-01,-1.8383e+00,3.3223e+00,9.5104e+00,2.9271e+01,-2.0935e+02
-1.7957e-01,-1.7034e+00,4.2682e+00,9.9307e+00,3.1273e+01,-2.4017e+02
-3.4873e-01,-1.5560e+00,4.6349e+00,1.0108e+01,3.1960e+01,-2.7121e+02
-2.7482e-02,-1.7815e+00,3.7037e+00,9.8332e+00,2.9908e+01,-1.7576e+02
-8.9104e-01,-7.7897e-01,3.8909e+00,9.9136e+00,3.0439e+01,-2.6546e+02
-5.2463e-01,-8.8179e-01,3.5468e+00,9.7944e+00,2.9685e+01,-2.6540e+02
2.5872e-02,-1.3292e+00,3.5019e+00,9.7744e+00,2.9499e+01,-2.6325e+02
-1.3301e-02,-9.2095e-01,3.3607e+00,9.5009e+00,2.9495e+01,-2.1184e+02
1.9511e-01,-1.5404e+00,3.4402e+00,9.8004e+00,2.9177e+01,-2.2008e+02
-5.0331e-02,-1.5323e+00,4.5769e+00,9.7781e+00,3.2218e+01,-2.6506e+02
3.4011e-01,-1.4199e+00,3.6465e+00,9.5806e+00,2.9930e+01,-1.9597e+02
1.5158e-01,-1.5778e+00,4.0984e+00,9.7071e+00,3.1024e+01,-2.2440e+02
-3.6103e-01,-1.6665e+00,4.4120e+00,1.0130e+01,3.1310e+01,-2.2473e+02
4.4658e-01,-1.9330e+00,3.7858e+00,9.5902e+00,3.0272e+01,-2.6643e+02
-3.9345e-02,-1.3804e+00,3.8626e+00,9.9040e+00,3.0112e+01,-2.7268e+02
1.4657e-01,-1.6375e+00,3.7900e+00,9.6878e+00,3.0323e+01,-2.4390e+02
-4.1144e-01,-1.7054e+00,4.0133e+00,1.0057e+01,3.0545e+01,-2.6008e+02
-3.8832e-01,-1.3243e+00,3.7733e+00,1.0001e+01,2.9964e+01,-2.0446e+02
-5.8386e-01,-8.2540e-01,4.8597e+00,9.7955e+00,3.2937e+01,-2.6490e+02
2.6698e-01,-1.8845e+00,3.5335e+00,9.8646e+00,2.9302e+01,-2.4098e+02
2.7006e-01,-1.8833e+00,4.1011e+00,9.6905e+00,3.1001e+01,-2.2050e+02
2.7002e-01,-1.8835e+00,3.8645e+00,9.7635e+00,3.0325e+01,-2.3039e+02
2.2325e-01,-1.8658e+00,3.5978e+00,9.6634e+00,2.9837e+01,-1.7301e+02
6.2087e-02,-1.9236e+00,3.9230e+00,9.9181e+00,3.0341e+01,-1.9829e+02
-5.6611e-01,-1.2927e+00,3.8181e+00,1.0123e+01,2.9976e+01,-2.5427e+02
-4.2372e-01,-7.0168e-01,4.6427e+00,9.5318e+00,3.2687e+01,-2.7172e+02
-1.5815e-01,-1.6896e+00,3.9653e+00,9.9067e+00,3.0550e+01,-2.1922e+02
-5.3471e-01,-9.2475e-01,3.7816e+00,9.7995e+00,3.0253e+01,-2.1772e+02
-3.4382e-01,-1.3589e+00,4.0791e+00,1.0010e+01,3.0723e+01,-1.8773e+02
-1.7230e-01,-1.5745e+00,3.9159e+00,1.0097e+01,3.0040e+01,-2.5410e+02
-4.3999e-01,-1.3194e+00,4.6542e+00,1.0100e+01,3.2026e+01,-2.4701e+02
7.3957e-02,-1.4476e+00,4.5930e+00,9.7983e+00,3.2138e+01,-2.6796e+02
