logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.0426e-01,-1.7048e+00,1.3903e+00,2.3588e+00,8.7252e-01,1.8928e+00,3.7838e+00,-4.5868e+02
-1.1318e-02,-6.2072e-01,1.5815e+00,2.5233e+00,2.3930e+00,2.3185e+00,3.7354e+00,-4.4964e+02
-7.1012e-02,-7.5291e-01,1.4742e+00,2.4386e+00,1.4205e+00,3.5753e+00,2.5001e+00,-4.6957e+02
9.6451e-02,-8.5108e-01,1.5022e+00,2.3848e+00,2.9883e+00,1.7740e+00,3.5577e+00,-4.4408e+02
8.0921e-02,-9.3144e-01,1.5223e+00,2.4016e+00,1.6251e+00,3.5810e+00,2.6657e+00,-4.7124e+02
-1.0672e-02,-1.4359e+00,1.3863e+00,2.4198e+00,8.3335e-01,1.7199e+00,3.8055e+00,-4.5403e+02
-1.6163e-01,-1.6437e+00,1.4281e+00,2.3173e+00,7.5617e-01,1.9283e+00,3.7721e+00,-4.4712e+02
6.5610e-02,-7.2433e-01,1.4426e+00,2.5002e+00,2.4375e+00,3.5182e+00,2.7157e+00,-4.5246e+02
3.9342e-02,-5.4171e-01,1.4565e+00,2.6287e+00,1.8398e+00,2.4118e+00,3.7585e+00,-4.4818e+02
-4.5560e-02,-1.0004e+00,1.3562e+00,2.4556e+00,5.1907e-01,3.4587e+00,3.2565e+00,-4.7473e+02
6.1106e-02,-9.4436e-01,1.4729e+00,2.4191e+00,7.5551e-01,3.6129e+00,1.9133e+00,-4.4532e+02
-4.2359e-02,-1.2877e+00,1.4316e+00,2.4171e+00,1.7013e+00,1.6637e+00,3.7959e+00,-4.7997e+02
-5.2445e-02,-9.2284e-01,1.5232e+00,2.3378e+00,1.0148e+00,3.6007e+00,2.0305e+00,-4.5352e+02
-4.7013e-02,-6.6938e-01,1.4510e+00,2.5659e+00,2.3989e+00,2.8432e+00,3.6435e+00,-4.5559e+02
9.5320e-02,-9.3007e-01,1.3904e+00,2.4488e+00,2.1845e+00,3.5860e+00,1.9289e+00,-4.8285e+02
6.1810e-02,-5.1326e-01,1.5955e+00,2.6178e+00,1.4796e+00,2.9815e+00,3.7031e+00,-4.7576e+02
