logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.9883e-02,-5.8372e-01,-1.7605e+00,2.7453e+00,2.2993e+00,3.4124e+00,3.2285e+00,2.9904e+01,-3.0750e+02
-2.3370e-01,-1.3546e+00,-1.2119e+00,1.9307e+00,1.2890e+00,2.9960e+00,3.8188e+00,3.0082e+01,-3.4464e+02
-1.1979e-01,-1.2123e+00,-1.2566e+00,1.8880e+00,2.4212e+00,3.2449e+00,3.6040e+00,2.9992e+01,-5.0097e+02
-5.6751e-01,-1.0997e+00,-6.6723e-01,8.0275e-01,2.0660e+00,3.3854e+00,3.7852e+00,3.0304e+01,-5.3009e+02
-1.4949e-01,-1.0672e+00,-1.6621e+00,1.7112e+00,3.1405e-01,3.6897e+00,2.8827e+00,3.0022e+01,-4.8760e+02
-5.0702e-02,-8.5044e-01,1.1610e+00,2.3369e+00,3.5338e+00,2.7433e+00,3.2424e+00,3.0736e+01,-3.3597e+02
-1.1579e-01,-1.3356e+00,1.6883e-01,1.0442e+00,2.3979e-01,3.6749e+00,3.3855e+00,3.0182e+01,-5.1969e+02
1.9557e-01,-1.2439e+00,4.0429e-01,1.4659e+00,3.0845e+00,3.6832e+00,2.3637e+00,3.0377e+01,-5.4995e+02
1.8046e-01,-1.5322e+00,-1.1841e+00,9.6692e-01,3.3572e+00,2.9046e+00,3.5704e+00,3.0512e+01,-4.7332e+02
1.2512e-01,-1.5873e+00,7.0598e-01,3.6369e-01,2.2123e+00,3.6728e+00,2.0066e+00,2.9936e+01,-4.1737e+02
3.4102e-02,-9.7251e-01,-7.9433e-01,2.1980e+00,8.1793e-01,3.7567e+00,1.9769e+00,3.0071e+01,-5.5022e+02
-1.5143e-01,-1.7428e+00,6.2256e-01,5.2681e-01,7.5993e-01,3.3171e+00,3.7805e+00,3.0140e+01,-5.1599e+02
3.4368e-01,-1.4590e+00,-1.3383e+00,1.8901e+00,-5.0734e-02,3.7190e+00,2.0942e+00,2.9953e+01,-3.0581e+02
-6.6665e-02,-1.3637e+00,5.4112e-01,-6.2544e-01,-5.8224e-02,3.5923e+00,2.6672e+00,2.9760e+01,-5.2742e+02
-1.7106e-01,-1.2595e+00,8.2130e-01,7.5410e-01,3.1461e+00,2.6654e+00,3.8414e+00,3.0522e+01,-4.4341e+02
-3.7275e-02,-1.8987e+00,-7.8196e-01,1.8637e+00,2.8626e+00,2.6792e+00,3.9091e+00,3.0442e+01,-4.1256e+02
2.3518e-01,-1.9046e+00,-1.6428e+00,1.7317e+00,1.1927e+00,3.6615e+00,2.9897e+00,2.9970e+01,-4.0211e+02
6.4154e-02,-1.7896e+00,-8.5882e-01,4.2888e-01,1.6160e+00,3.5459e+00,3.1754e+00,2.9800e+01,-5.2438e+02
-1.3803e-01,-1.6134e+00,8.3225e-01,1.5486e+00,2.0095e+00,1.4972e+00,3.9065e+00,3.0083e+01,-5.6111e+02
-2.1318e-01,-1.1586e+00,-5.0059e-01,2.2066e+00,2.5426e+00,3.1369e+00,3.9257e+00,3.0468e+01,-5.1126e+02
-1.3069e-01,-1.7902e+00,-8.2464e-01,3.9602e-01,1.1242e+00,3.4895e+00,3.3878e+00,2.9905e+01,-4.7889e+02
-2.8324e-01,-9.5882e-01,-7.7932e-02,1.9644e+00,2.5739e+00,3.7169e+00,2.5534e+00,3.0262e+01,-3.9292e+02
-6.0667e-02,-1.4029e+00,1.0693e+00,1.5927e+00,2.9953e+00,1.5708e+00,3.9627e+00,3.0521e+01,-3.8141e+02
-1.9582e-02,-1.0253e+00,1.0301e+00,2.1541e+00,1.8538e-01,3.0693e+00,3.8049e+00,3.0000e+01,-5.1839e+02
-4.6974e-01,-1.6235e+00,4.6951e-01,6.1990e-01,7.5330e-01,1.5444e+00,4.0551e+00,3.0463e+01,-5.3532e+02
3.5217e-01,-7.8234e-01,-1.2604e+00,2.5349e+00,1.9033e+00,2.4325e+00,3.7302e+00,2.9717e+01,-2.9344e+02
3.8894e-01,-1.3461e+00,-1.0074e+00,2.1057e+00,3.2089e+00,3.5340e+00,3.1358e+00,3.0450e+01,-4.7891e+02
-2.9163e-01,-1.0463e+00,-1.9932e-01,1.9374e+00,2.5155e+00,3.3413e+00,3.6094e+00,3.0146e+01,-4.7669e+02
-4.0706e-01,-1.7767e+00,7.2282e-02,4.0073e-01,4.1024e-01,1.4675e+00,3.8581e+00,2.9935e+01,-5.4802e+02
1.8957e-01,-1.7821e+00,-4.9160e-02,1.4943e+00,3.2890e+00,2.7291e+00,3.8515e+00,3.0658e+01,-5.6521e+02
-3.5765e-01,-1.0624e+00,9.7736e-01,-1.9276e-01,3.5171e+00,2.2964e+00,3.9375e+00,3.1107e+01,-5.5669e+02
-3.3726e-01,-1.5591e+00,-5.3558e-01,1.6934e+00,6.6688e-01,1.9420e+00,3.8097e+00,2.9876e+01,-5.6080e+02
-8.2367e-02,-1.2462e+00,7.8640e-01,-1.5475e-01,3.0615e+00,3.7121e+00,3.1315e+00,3.0576e+01,-3.7542e+02
4.9664e-01,-1.6108e+00,-3.3124e-02,1.8062e+00,2.8251e+00,3.6204e+00,3.0277e+00,3.0163e+01,-4.8688e+02
1.9712e-01,-5.2601e-01,-1.1215e+00,2.8727e+00,2.4881e+00,2.6966e+00,3.6445e+00,2.9932e+01,-4.6812e+02
4.6016e-01,-1.8983e+00,3.5617e-01,1.1726e+00,2.7696e+00,3.5946e+00,3.1907e+00,3.0094e+01,-5.3508e+02
1.8554e-02,-1.6938e+00,3.3713e-01,-3.0520e-01,8.3355e-01,3.7513e+00,2.8135e+00,3.0139e+01,-3.8836e+02
2.4851e-01,-1.8964e+00,-5.1555e-02,6.4075e-01,2.8829e+00,3.6354e+00,2.9379e+00,3.0207e+01,-4.3083e+02
-9.9118e-03,-1.4185e+00,3.8421e-01,7.5114e-01,7.3805e-01,3.6768e+00,2.2703e+00,2.9911e+01,-4.0069e+02
4.9475e-01,-1.7782e+00,-2.9088e-02,1.9661e+00,2.3663e+00,3.8322e+00,2.9647e+00,3.0386e+01,-5.5931e+02
-2.8200e-01,-1.7878e+00,9.2404e-01,1.5167e+00,2.1918e+00,1.8405e+00,4.0578e+00,3.0519e+01,-5.1804e+02
-2.1593e-01,-1.3938e+00,-5.1010e-01,2.0433e+00,2.1395e+00,1.9222e+00,3.9957e+00,3.0355e+01,-3.9003e+02
1.2688e-01,-1.3629e+00,1.1610e-01,2.1780e+00,3.1269e+00,3.3496e+00,3.7832e+00,3.0649e+01,-4.3609e+02
-3.1446e-01,-1.4552e+00,-9.3903e-01,-5.0586e-01,2.4599e+00,3.0024e+00,3.8552e+00,3.0245e+01,-5.4765e+02
4.8219e-01,-8.1347e-01,-1.0640e+00,2.3494e+00,1.0774e+00,3.5472e+00,2.1409e+00,2.9550e+01,-3.2531e+02
4.6583e-01,-1.4998e+00,-1.2474e+00,1.8882e+00,1.1508e+00,3.1517e+00,3.4249e+00,2.9387e+01,-5.4751e+02
-5.3148e-02,-1.5989e+00,-7.0310e-01,1.8787e-01,-1.0207e-01,3.5983e+00,3.0139e+00,2.9854e+01,-4.6910e+02
-1.6025e-01,-1.3320e+00,6.3958e-01,1.0210e+00,3.2220e+00,3.1596e+00,3.9159e+00,3.0816e+01,-5.4183e+02
2.9642e-02,-1.5335e+00,4.9110e-01,9.0961e-01,1.7201e-01,3.5821e+00,2.4117e+00,2.9688e+01,-5.2212e+02
9.8798e-03,-1.7702e+00,-9.8824e-01,1.4852e+00,-1.1681e-02,3.6226e+00,3.2811e+00,3.0049e+01,-4.1282e+02
-4.0796e-01,-1.8813e+00,-1.3024e+00,-2.7278e-01,2.1863e+00,1.8099e+00,3.9408e+00,3.0246e+01,-4.5717e+02
-2.4851e-01,-1.0831e+00,-1.2110e+00,2.0965e+00,1.9789e+00,2.3182e+00,3.7835e+00,2.9865e+01,-4.4553e+02
-4.9233e-01,-7.8513e-01,7.6626e-01,4.4927e-01,3.5421e+00,3.0743e+00,2.3562e+00,3.0663e+01,-5.2978e+02
-2.3180e-01,-1.8459e+00,-1.7573e+00,1.1478e+00,6.4556e-01,3.4716e+00,3.7491e+00,3.0317e+01,-4.9029e+02
1.0627e-01,-1.4505e+00,-1.7227e+00,1.6549e+00,1.5913e+00,3.7607e+00,2.5496e+00,3.0125e+01,-4.0603e+02
-1.5937e-01,-1.6015e+00,-7.4209e-01,3.2150e-02,3.2063e+00,1.6617e+00,3.8996e+00,3.0654e+01,-4.7047e+02
-2.1014e-01,-7.5251e-01,2.8530e-01,2.7655e+00,3.4541e+00,3.5002e+00,3.4788e+00,3.1025e+01,-5.4075e+02
-4.3411e-01,-1.3638e+00,-9.7692e-01,1.1558e+00,1.5093e+00,3.3503e+00,3.8215e+00,3.0333e+01,-4.8144e+02
-6.5784e-02,-1.3857e+00,6.1569e-01,1.0217e+00,2.1712e+00,3.6313e+00,2.7226e+00,2.9957e+01,-5.5185e+02
1.7672e-02,-1.7405e+00,-1.4606e+00,1.7395e+00,1.4091e+00,3.3645e+00,3.6039e+00,2.9944e+01,-3.3166e+02
-1.5090e-01,-9.6026e-01,2.0885e-01,2.3422e+00,2.5566e+00,2.0012e+00,3.9228e+00,3.0263e+01,-4.4178e+02
3.9107e-01,-1.8721e+00,-1.2197e+00,1.8632e+00,3.0019e+00,3.1153e+00,3.6257e+00,3.0189e+01,-5.0405e+02
-2.2220e-02,-1.4693e+00,-8.4486e-02,3.6971e-01,3.3476e+00,1.6344e+00,3.8009e+00,3.0673e+01,-5.0046e+02
2.7906e-01,-1.1763e+00,-1.4100e+00,2.0454e+00,2.5756e+00,3.7078e+00,2.9159e+00,3.0155e+01,-5.0711e+02
-4.0326e-01,-1.6357e+00,-6.0160e-01,-4.7286e-01,2.3035e+00,2.1142e+00,3.9018e+00,3.0170e+01,-4.5988e+02
-3.0555e-01,-1.6103e+00,3.3921e-01,1.4429e-01,1.4739e+00,3.4945e+00,3.7047e+00,3.0308e+01,-5.4436e+02
-3.5462e-01,-1.2765e+00,-1.1204e+00,2.0150e+00,8.4264e-01,2.9422e+00,3.8761e+00,3.0209e+01,-5.5979e+02
2.9762e-01,-1.5679e+00,6.7814e-01,-2.3149e-01,3.4496e+00,3.0431e+00,3.4595e+00,3.0641e+01,-5.3034e+02
3.9219e-01,-1.5849e+00,1.0739e+00,2.1069e+00,2.8095e+00,2.3922e+00,3.9977e+00,3.0418e+01,-4.9077e+02
3.7098e-01,-1.9000e+00,-3.5502e-01,1.9743e+00,1.8573e+00,2.4917e+00,3.6602e+00,2.9531e+01,-5.3689e+02
-2.1583e-01,-1.0994e+00,3.0294e-01,1.8122e+00,3.3276e+00,1.1746e+00,3.7446e+00,3.0603e+01,-5.0077e+02
-3.7147e-01,-1.3174e+00,-2.7335e-01,-5.8263e-01,3.1245e+00,1.3206e+00,3.8527e+00,3.0526e+01,-5.5659e+02
-1.3038e-01,-1.2872e+00,-1.3154e+00,1.5933e+00,2.3781e+00,3.8045e+00,1.9474e+00,3.0362e+01,-5.3225e+02
-3.1410e-01,-8.8543e-01,2.3219e-01,2.2990e+00,1.7209e+00,3.5220e+00,3.5118e+00,3.0180e+01,-5.1385e+02
-2.8002e-01,-1.2056e+00,-8.7143e-01,2.1545e+00,2.4932e+00,1.6109e+00,3.9970e+00,3.0417e+01,-5.4402e+02
-3.0318e-01,-1.7233e+00,4.1121e-02,1.2292e+00,2.2833e+00,1.6698e+00,3.9901e+00,3.0344e+01,-4.8367e+02
2.2695e-01,-1.2454e+00,-1.0822e+00,2.0653e+00,2.2109e+00,3.3627e+00,3.6197e+00,2.9956e+01,-5.0128e+02
-6.1904e-01,-1.2615e+00,-3.4828e-01,1.4082e+00,1.6534e+00,1.4568e+00,3.9119e+00,3.0121e+01,-4.9313e+02
-8.4547e-01,-1.1012e+00,3.3606e-01,7.4060e-01,9.3185e-01,1.1110e+00,3.9185e+00,3.0101e+01,-5.1987e+02
-4.0160e-01,-1.7670e+00,-4.5468e-01,1.3831e+00,5.4371e-01,1.1121e+00,4.0340e+00,3.0396e+01,-5.3704e+02
-1.6296e-01,-1.2535e+00,4.4354e-01,1.5945e+00,1.8184e+00,3.4638e+00,3.5490e+00,3.0026e+01,-3.8461e+02
1.2077e-01,-1.1661e+00,-1.3151e+00,2.2496e+00,1.6572e+00,2.1411e+00,3.8773e+00,2.9935e+01,-5.5046e+02
8.3595e-02,-1.7321e+00,2.9364e-01,-3.3305e-01,1.9079e+00,3.6356e+00,2.7335e+00,2.9877e+01,-3.8771e+02
-9.6907e-02,-1.3436e+00,8.0322e-01,3.7419e-01,8.3776e-01,3.7484e+00,2.3825e+00,3.0128e+01,-4.2503e+02
3.7748e-02,-1.9421e+00,1.5869e-01,4.6822e-01,4.0150e-02,3.5381e+00,3.2112e+00,2.9807e+01,-4.0313e+02
-5.8474e-02,-1.2615e+00,6.0406e-01,1.0858e+00,2.1473e+00,3.8018e+00,2.1953e+00,3.0258e+01,-4.0430e+02
-4.8906e-01,-5.9640e-01,-1.8047e-01,2.6454e+00,3.0586e+00,3.6187e+00,2.0660e+00,3.0391e+01,-4.6710e+02
2.5256e-01,-1.4345e+00,3.6362e-01,1.5990e+00,2.1386e+00,3.6778e+00,2.9533e+00,3.0004e+01,-4.4818e+02
2.8383e-01,-1.7921e+00,1.0590e-01,-1.3972e-01,2.6289e+00,3.6269e+00,2.5554e+00,2.9983e+01,-5.5185e+02
1.7139e-01,-1.7117e+00,1.9020e-01,3.8193e-01,2.9595e+00,3.4576e+00,3.4632e+00,3.0261e+01,-5.2553e+02
-4.5829e-01,-1.4182e+00,-6.6988e-01,1.8946e+00,5.5523e-01,1.2163e+00,3.9770e+00,3.0311e+01,-5.6168e+02
-1.0178e-01,-1.1618e+00,1.5684e-01,1.3136e+00,2.4246e+00,3.7322e+00,2.4632e+00,3.0168e+01,-4.2948e+02
2.4987e-01,-1.0807e+00,1.4302e+00,1.5382e-01,3.5703e+00,2.2707e+00,3.3519e+00,3.0699e+01,-4.7242e+02
4.1178e-02,-5.6277e-01,-7.4697e-01,2.6951e+00,2.1091e+00,2.8540e+00,3.4775e+00,2.9619e+01,-4.7078e+02
3.2784e-01,-1.3158e+00,8.1769e-01,-3.9186e-01,3.6239e+00,2.7732e+00,3.3583e+00,3.0859e+01,-4.9479e+02
-2.6156e-01,-1.5908e+00,1.0348e+00,1.5315e+00,1.5548e+00,2.8088e+00,4.0328e+00,3.0484e+01,-4.8795e+02
9.9586e-02,-1.6903e+00,4.5392e-01,6.6292e-01,7.1201e-01,3.7202e+00,2.8662e+00,3.0077e+01,-5.0556e+02
4.1033e-01,-1.9957e+00,6.7617e-01,1.1769e+00,2.6647e+00,3.6197e+00,2.0457e+00,2.9947e+01,-4.2877e+02
-1.2419e-01,-1.1450e+00,1.1159e+00,4.2421e-01,3.2476e+00,1.6864e+00,3.7793e+00,3.0503e+01,-4.7592e+02
1.8128e-01,-1.8777e+00,4.6118e-01,8.2197e-01,1.5430e+00,3.8160e+00,2.6928e+00,3.0270e+01,-5.3391e+02
1.6184e-01,-1.4137e+00,3.2049e-01,1.8424e-01,3.5466e+00,2.5112e+00,3.4932e+00,3.0758e+01,-5.5919e+02
-9.1380e-02,-1.3691e+00,-1.1565e+00,1.1303e+00,4.6736e-01,3.6745e+00,2.3168e+00,2.9913e+01,-5.0641e+02
-2.0805e-01,-1.7863e+00,7.5834e-01,-4.7942e-01,2.0617e+00,2.5537e+00,3.8490e+00,3.0009e+01,-4.8187e+02
1.3268e-01,-1.6263e+00,-1.2339e+00,9.3767e-01,2.6882e+00,3.6141e+00,2.4046e+00,3.0019e+01,-5.1993e+02
-3.0140e-01,-8.6785e-01,6.6323e-01,2.2718e+00,3.5896e+00,2.9285e+00,3.4948e+00,3.1013e+01,-4.8482e+02
