logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.0144e+00,-1.6176e+00,2.7040e-01,1.4051e+00,2.7950e+00,3.1020e+01,-1.3252e+03
-1.0886e+00,-1.9164e+00,1.9708e+00,2.6700e+00,2.1119e+00,3.1535e+01,-1.4154e+03
-1.0387e+00,-1.5193e+00,1.4474e+00,2.7906e+00,1.2014e+00,3.1446e+01,-1.3693e+03
-1.1614e+00,-1.5558e+00,1.1585e+00,1.2520e+00,3.0108e+00,3.1547e+01,-1.4747e+03
-1.0924e+00,-1.8230e+00,7.0087e-01,1.2990e+00,2.8710e+00,3.1246e+01,-1.3288e+03
-1.0101e+00,-1.7498e+00,1.4350e-01,1.6438e+00,2.9751e+00,3.1520e+01,-1.3978e+03
-1.1555e+00,-1.8767e+00,3.7467e-02,2.5398e+00,2.5137e+00,3.1371e+01,-1.3894e+03
-1.2330e+00,-1.8593e+00,8.9184e-01,2.6479e+00,1.4350e+00,3.1094e+01,-1.5032e+03
-1.2083e+00,-1.5014e+00,2.0507e+00,2.2540e+00,2.1366e+00,3.1096e+01,-1.5095e+03
-1.2349e+00,-1.9773e+00,8.2917e-01,2.6670e+00,1.4520e+00,3.1178e+01,-1.4052e+03
-1.1515e+00,-1.6900e+00,1.3124e+00,2.6784e+00,2.4511e+00,3.1526e+01,-1.4126e+03
-1.1371e+00,-1.5090e+00,3.0986e-01,1.2985e+00,2.8463e+00,3.1175e+01,-1.3192e+03
-1.0827e+00,-1.7990e+00,2.2720e+00,1.9934e+00,1.1955e+00,3.0925e+01,-1.4561e+03
-1.0749e+00,-1.9800e+00,1.7492e+00,2.2208e+00,2.2139e+00,3.0867e+01,-1.4480e+03
-1.2410e+00,-1.5522e+00,1.9963e+00,2.7740e+00,1.5642e+00,3.1679e+01,-1.4803e+03
-1.1682e+00,-1.9599e+00,1.7768e+00,2.3002e+00,1.8260e+00,3.0778e+01,-1.4752e+03
