niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-6.9478e+03,-6.9554e+03,-9.9950e-04,-6.9554e+03,8.7167e-02,7.6019e+00,inf,1.9659e+03,1.3342e-01,-3.3607e-01,3.3680e-01,1.6264e+00,2.3141e+00,3.4478e+00,4.0941e+00,2.9585e+01
2.0000e+00,1.0000e+00,1.9960e-01,-6.2405e+03,-6.2481e+03,-1.9990e-03,-6.2481e+03,8.7173e-02,7.6029e+00,6.9547e+03,1.9678e+03,1.0675e-01,-3.8560e-01,1.8415e+00,2.8235e+00,2.8449e+00,3.3634e+00,3.9866e+00,2.9634e+01
3.0000e+00,1.0000e+00,2.9910e-01,-6.1089e+03,-6.1166e+03,-2.9985e-03,-6.1166e+03,8.7179e-02,7.6039e+00,6.2474e+03,1.9696e+03,-3.7470e-01,-2.5442e-01,1.1609e+00,2.2819e+00,2.7636e+00,3.8327e+00,4.0240e+00,2.9873e+01
4.0000e+00,1.0000e+00,3.9841e-01,-5.9446e+03,-5.9522e+03,-3.9980e-03,-5.9522e+03,8.7184e-02,7.6049e+00,6.1158e+03,1.9716e+03,-4.5041e-02,-2.9213e-01,8.6209e-01,2.1579e+00,2.4784e+00,3.9832e+00,4.0371e+00,2.9768e+01
5.0000e+00,1.0000e+00,4.9751e-01,-5.8584e+03,-5.8660e+03,-4.9975e-03,-5.8660e+03,8.7190e-02,7.6059e+00,5.9515e+03,1.9736e+03,1.5408e-01,-2.4165e-01,1.2692e+00,2.1218e+00,2.4253e+00,3.3033e+00,4.4767e+00,2.9769e+01
6.0000e+00,1.0000e+00,5.9642e-01,-5.5018e+03,-5.5094e+03,-5.9970e-03,-5.5094e+03,8.7196e-02,7.6069e+00,5.8653e+03,1.9757e+03,-2.0524e-01,-2.3029e-01,2.1489e+00,1.4072e+00,3.3765e+00,3.1311e+00,4.2491e+00,2.9896e+01
7.0000e+00,1.0000e+00,6.9513e-01,-5.4748e+03,-5.4824e+03,-6.9965e-03,-5.4824e+03,8.7201e-02,7.6079e+00,5.5087e+03,1.9775e+03,2.0136e-01,-7.8608e-03,1.3340e+00,2.9001e+00,2.6146e+00,3.6636e+00,4.4036e+00,2.9575e+01
8.0000e+00,1.0000e+00,7.9365e-01,-5.4620e+03,-5.4696e+03,-7.9960e-03,-5.4696e+03,8.7207e-02,7.6088e+00,5.4816e+03,1.9794e+03,-2.5182e-01,-3.1681e-01,1.4582e+00,2.8150e+00,2.1912e+00,3.2103e+00,4.1803e+00,2.9460e+01
9.0000e+00,1.0000e+00,8.9197e-01,-5.1823e+03,-5.1899e+03,-8.9955e-03,-5.1899e+03,8.7213e-02,7.6099e+00,5.4688e+03,1.9815e+03,-3.7305e-01,-9.3683e-01,2.9814e-01,1.7511e+00,2.1017e+00,3.9186e+00,4.0197e+00,2.9633e+01
1.0000e+01,1.0000e+00,9.9010e-01,-5.1491e+03,-5.1567e+03,-9.9950e-03,-5.1567e+03,8.7219e-02,7.6109e+00,5.1891e+03,1.9838e+03,1.6782e-01,-2.7543e-01,1.5739e+00,1.4436e+00,3.4057e+00,3.2122e+00,4.1317e+00,2.9180e+01
